dog_id,pa_cold_weather_months_per_year
10509,2
74227,1
32487,2
63150,0
33369,2
72814,5
72448,5
98151,3
76173,5
41276,2
82000,2
7580,4
37013,3
59622,4
81907,0
86809,4
85097,0
4851,2
40687,0
94185,4
97071,0
58481,2
90138,2
60866,7
89528,1
86996,4
81878,5
73822,0
4991,2
98084,2
13220,2
3032,3
81638,2
30845,3
40444,3
50472,2
7426,8
44458,2
6380,0
35215,0
55951,0
10736,3
47203,2
26197,5
3854,3
2650,5
47405,5
83131,4
95463,5
85746,1
1485,1
58788,2
45726,4
78733,3
93573,3
101896,3
71108,0
84142,5
3529,4
44789,0
51200,2
68354,3
83240,0
79793,3
70330,1
14311,3
68318,2
88409,1
72028,1
100120,5
5286,0
72889,0
4275,4
101864,1
84091,2
32210,5
96127,3
43176,5
59144,2
66307,4
78602,2
73375,0
50916,4
78065,3
87273,2
34475,3
85745,1
42476,1
63794,3
65420,3
92020,3
94987,2
55871,2
29345,3
90006,2
51348,0
94976,5
51049,5
91012,6
8875,2
97803,4
48626,5
63300,5
10607,0
29044,3
7154,6
89925,0
50115,2
60759,4
56903,4
6441,1
79834,2
77978,4
5240,5
19636,3
45805,1
25333,1
53790,0
28324,2
17268,5
58977,3
15557,3
102685,4
72205,1
60642,5
69116,1
4114,5
97654,2
64678,1
33038,1
72234,0
45597,3
69397,0
98656,2
90391,9
3476,0
20897,0
42137,5
80393,1
91490,2
31125,6
95384,4
60016,5
54244,3
55230,6
42675,5
83352,4
77404,3
42691,3
62801,3
61524,2
64635,3
95151,7
28064,2
66178,3
88379,1
4503,6
40879,0
87947,3
87690,5
92999,4
79804,5
50377,2
76065,3
74929,0
102714,0
16154,3
57419,2
15104,0
233,0
26157,2
92296,2
12864,0
94578,0
102086,0
3105,1
8162,5
1852,2
29644,0
83175,2
6880,3
53040,6
40933,1
85173,0
82464,6
87441,3
7023,3
81717,1
83340,4
21602,1
16001,0
11166,3
71254,5
79687,5
66,2
30753,3
50326,3
68940,5
76061,4
79383,1
2287,1
92577,1
85835,4
35796,3
14449,3
62250,6
22504,2
13873,3
97737,3
69292,5
41882,3
25921,5
60399,2
81851,2
22556,2
63330,3
87835,3
91022,1
