dog_id,pa_hot_weather_months_per_year
10509,4
74227,2
32487,3
63150,0
33369,2
72814,4
72448,1
98151,4
76173,0
41276,2
82000,0
7580,3
37013,2
59622,2
81907,2
86809,3
85097,2
4851,2
40687,3
94185,4
97071,3
58481,2
90138,2
60866,0
89528,3
86996,4
81878,1
73822,4
4991,3
98084,4
13220,5
3032,2
81638,2
30845,5
40444,3
50472,1
7426,0
44458,2
6380,1
35215,2
55951,6
10736,5
47203,2
26197,2
3854,3
2650,3
47405,2
83131,3
95463,3
85746,3
1485,1
58788,3
45726,4
78733,3
93573,2
101896,2
71108,4
84142,2
3529,4
44789,1
51200,1
68354,1
83240,3
79793,5
70330,2
14311,4
68318,8
88409,2
72028,1
100120,3
5286,5
72889,2
4275,2
101864,4
84091,5
32210,3
96127,5
43176,1
59144,2
66307,2
78602,1
73375,3
50916,4
78065,2
87273,2
34475,3
85745,2
42476,0
63794,3
65420,2
92020,5
94987,2
55871,1
29345,2
90006,3
51348,0
94976,1
51049,2
91012,2
8875,0
97803,1
48626,3
63300,1
10607,3
29044,1
7154,3
89925,3
50115,1
60759,3
56903,2
6441,2
79834,4
77978,2
5240,4
19636,3
45805,1
25333,3
53790,6
28324,2
17268,3
58977,2
15557,0
102685,2
72205,3
60642,3
69116,0
4114,2
97654,5
64678,4
33038,2
72234,7
45597,2
69397,6
98656,3
90391,1
3476,6
20897,4
42137,10
80393,5
91490,4
31125,3
95384,2
60016,3
54244,2
55230,2
42675,2
83352,1
77404,1
42691,4
62801,2
61524,2
64635,1
95151,0
28064,2
66178,2
88379,4
4503,3
40879,2
87947,3
87690,2
92999,3
79804,1
50377,4
76065,2
74929,3
102714,7
16154,2
57419,3
15104,2
233,0
26157,5
92296,7
12864,4
94578,3
102086,5
3105,6
8162,1
1852,2
29644,7
83175,7
6880,3
53040,4
40933,2
85173,10
82464,3
87441,0
7023,2
81717,3
83340,2
21602,5
16001,4
11166,3
71254,2
79687,1
66,2
30753,2
50326,6
68940,5
76061,3
79383,1
2287,3
92577,7
85835,3
35796,1
14449,3
62250,0
22504,4
13873,4
97737,0
69292,1
41882,3
25921,4
60399,1
81851,2
22556,1
63330,3
87835,2
91022,4
38188,0
32899,1
95758,2
24386,2
65585,1
37601,2
1531,5
97119,4
70850,3
70615,2
18319,1
32081,1
63041,4
35690,0
100332,1
70566,2
83685,1
66289,5
94125,4
29926,1
95442,3
84317,4
83508,1
97331,1
37560,1
53322,3
10880,2
43099,1
11183,3
44979,3
79281,1
34068,3
11753,1
94428,4
79976,3
54801,8
88699,3
22116,4
36702,2
27099,9
54740,0
52593,2
54403,5
23467,2
18270,2
89716,1
1540,5
11481,3
80155,3
92893,3
41347,0
17431,2
82948,3
81817,2
94806,0
5137,3
40629,2
87598,2
14769,3
9075,2
87509,1
15440,1
43971,3
100321,2
62046,0
93243,2
15649,2
93934,0
1195,2
82711,4
7781,2
40593,6
52897,1
33623,3
68759,3
20089,4
94259,5
4828,2
6377,1
38283,5
12,2
94354,2
58548,0
53629,1
84665,0
57461,1
58418,5
45256,5
15094,4
16021,5
71351,2
58016,2
18080,4
66419,3
94080,2
67965,2
30061,0
13208,3
48502,4
30018,2
80531,2
65945,4
87033,3
3204,2
26451,4
36961,1
86771,6
102007,0
48204,1
15604,4
95647,3
938,0
28893,1
91456,2
31862,3
10700,3
81963,2
96001,0
71380,6
4290,3
77764,1
9941,3
14232,2
15533,2
39309,2
77525,3
52471,6
91233,1
90580,0
78226,3
67388,2
73869,5
12726,2
73067,3
37385,4
52445,1
96392,3
54124,1
64834,0
47898,3
88961,2
22629,1
94093,2
93667,2
30906,3
57394,1
63899,4
97112,2
11247,5
1654,2
77117,4
25269,1
42724,3
102584,2
15252,2
19306,1
55691,1
63049,1
99876,9
45006,7
28473,1
3058,3
102257,3
35333,1
46004,3
88130,3
19429,2
55022,3
87785,2
83034,2
60656,1
28297,9
42588,1
71971,5
65399,1
48945,2
313,5
53001,3
36686,10
77429,1
61384,3
29673,2
55283,2
25960,3
64697,2
51650,0
68425,4
40392,6
87448,3
82892,1
57876,4
83383,2
84324,2
66799,1
68927,3
102248,3
66851,2
30141,5
84312,2
23717,4
75850,2
22800,2
76661,1
51136,6
89863,1
6579,1
82549,4
12055,4
83460,3
92678,4
28565,2
83468,2
70153,5
51873,1
80637,1
56912,8
22934,3
11244,3
72244,2
36541,2
89165,3
202,4
89777,2
50979,2
50136,3
91526,12
98737,6
7258,3
78684,1
69452,3
48274,3
51183,2
8479,2
77766,3
