dog_id,concrete,wood,other_hard,grass_dirt,gravel,sand,astroturf
10509,True,False,False,True,False,False,False
74227,True,False,True,True,True,False,False
32487,True,False,True,True,False,False,False
63150,True,False,True,False,False,False,False
33369,True,False,False,True,False,False,False
72814,False,True,False,True,False,False,False
72448,True,True,False,True,True,False,False
98151,False,False,True,True,False,False,False
76173,False,False,False,True,False,True,False
41276,True,False,True,True,False,False,False
82000,False,False,False,False,False,False,False
7580,True,False,False,True,False,False,False
37013,False,False,True,True,False,False,False
59622,False,False,True,True,False,False,False
81907,True,False,True,True,False,False,False
86809,False,True,True,False,True,False,False
85097,False,False,True,True,True,True,False
4851,False,True,True,True,True,False,False
40687,False,False,False,True,False,False,False
94185,True,False,True,True,False,False,False
97071,True,False,False,True,False,False,False
58481,False,True,True,True,True,False,False
90138,False,True,False,True,False,True,False
60866,True,False,False,True,True,False,False
89528,False,False,False,True,False,False,False
86996,True,False,True,False,True,False,False
81878,True,True,True,True,False,False,False
73822,True,False,True,True,True,True,False
4991,False,False,False,True,True,False,False
98084,False,False,False,True,False,False,False
13220,True,False,False,True,False,False,False
3032,False,True,False,True,True,True,False
81638,False,False,False,True,False,False,False
30845,True,False,True,True,False,False,False
40444,True,True,True,True,True,False,False
50472,False,True,False,True,False,False,False
7426,False,True,True,True,True,False,False
44458,False,False,False,True,True,False,False
6380,False,True,False,False,True,False,False
35215,True,False,True,True,False,False,False
55951,True,False,True,True,False,False,False
10736,False,False,False,False,False,False,False
47203,True,False,True,True,False,False,False
26197,True,False,True,True,False,False,False
3854,False,False,False,False,False,False,False
2650,False,False,False,True,True,False,False
47405,False,False,False,True,False,False,False
83131,False,False,False,True,True,False,False
95463,False,True,False,True,True,False,False
85746,False,False,True,True,False,False,False
1485,True,False,False,True,True,False,False
58788,False,False,False,False,False,False,False
45726,False,False,False,True,False,False,False
78733,True,False,True,True,True,False,False
93573,True,True,True,True,False,False,False
101896,False,True,True,True,False,False,False
71108,True,False,False,True,False,False,False
84142,False,False,False,True,True,True,False
3529,True,True,False,True,False,False,False
44789,False,True,False,True,False,False,True
51200,False,False,False,True,False,False,False
68354,False,True,False,True,False,False,False
83240,True,False,True,True,False,False,False
79793,True,False,False,True,True,False,False
70330,False,False,False,True,False,False,False
14311,True,False,True,True,True,False,False
68318,True,False,True,True,False,False,False
88409,False,False,False,True,False,False,False
72028,False,False,False,False,False,False,False
100120,True,False,True,True,False,False,False
5286,True,True,False,True,False,False,False
72889,False,False,True,True,False,False,False
4275,False,False,True,True,False,False,False
101864,False,False,True,True,False,False,False
84091,True,True,True,True,True,False,False
32210,False,False,True,True,True,False,False
96127,False,False,False,True,False,False,False
43176,False,False,True,True,False,True,False
59144,False,True,False,True,False,False,True
66307,True,False,True,True,False,False,False
78602,True,False,True,True,False,False,False
73375,True,False,True,True,False,False,False
50916,True,True,False,True,False,False,False
78065,False,True,True,True,True,False,False
87273,False,True,True,True,False,True,False
34475,False,False,False,True,False,False,False
85745,True,False,True,True,False,False,False
42476,True,False,False,True,False,False,False
63794,True,False,False,True,False,False,False
65420,False,False,True,True,True,True,False
92020,False,False,False,True,False,False,False
94987,True,True,True,True,False,False,False
55871,True,False,True,True,True,False,False
29345,True,True,True,True,False,False,False
90006,False,False,True,True,True,False,False
51348,True,False,True,True,False,False,True
94976,False,False,False,True,True,False,False
51049,True,False,True,True,False,False,False
91012,True,True,True,True,True,True,False
8875,False,False,True,True,False,False,False
97803,False,True,False,True,False,False,False
48626,True,False,True,True,True,False,False
63300,False,True,False,True,False,False,False
10607,True,False,False,True,False,False,False
29044,True,True,True,True,True,False,False
7154,True,False,True,True,True,False,True
