dog_id,total_active_hours
10509,5.0
74227,1.0
32487,3.0
63150,0.1
33369,3.0
72814,0.0
72448,2.0
98151,4.0
76173,3.0
41276,1.0
82000,3.0
7580,2.0
37013,2.0
59622,4.0
81907,2.0
86809,1.0
85097,1.0
4851,1.0
40687,1.0
94185,4.0
97071,1.0
58481,1.0
90138,5.0
60866,0.1
89528,3.0
86996,0.0
81878,2.0
73822,1.0
4991,2.0
98084,4.0
13220,1.0
3032,2.0
81638,2.0
30845,1.0
40444,3.0
50472,2.0
7426,2.0
44458,2.0
6380,2.0
35215,1.0
55951,1.0
10736,1.0
47203,7.1
26197,1.0
3854,1.0
2650,3.1
47405,1.0
83131,8.1
95463,3.0
85746,1.0
1485,2.0
58788,2.0
45726,3.0
78733,4.1
93573,1.0
101896,1.0
71108,6.0
84142,3.0
3529,0.1
44789,2.0
51200,5.0
68354,7.0
83240,1.0
79793,1.0
70330,0.0
14311,0.0
68318,1.0
88409,1.0
72028,0.1
100120,3.0
5286,2.0
72889,2.0
4275,2.0
101864,1.0
84091,2.0
32210,2.0
96127,2.0
43176,1.0
59144,1.0
66307,2.0
78602,0.0
73375,1.0
50916,5.0
78065,3.0
87273,5.0
34475,8.0
85745,4.0
42476,2.0
63794,2.0
65420,3.0
92020,4.0
94987,7.0
55871,0.0
29345,3.0
90006,1.1
51348,3.0
94976,1.0
51049,2.0
91012,6.0
8875,1.0
97803,3.0
48626,2.0
63300,0.1
10607,1.0
29044,4.0
7154,3.0
89925,1.0
50115,0.0
60759,5.0
56903,3.0
6441,1.0
79834,8.0
77978,0.1
5240,1.0
19636,2.0
45805,2.0
25333,2.0
53790,1.0
28324,1.0
17268,1.0
58977,1.0
15557,4.0
102685,2.0
72205,1.0
60642,1.0
69116,1.0
4114,0.0
97654,3.0
64678,0.0
33038,3.0
72234,3.1
45597,1.0
69397,1.0
98656,1.0
90391,4.0
3476,2.0
20897,1.0
42137,1.0
80393,1.0
91490,2.0
31125,1.0
95384,0.1
60016,4.0
54244,1.0
55230,4.0
42675,2.0
83352,0.0
77404,2.0
42691,2.0
62801,1.0
61524,3.0
64635,1.0
95151,2.0
28064,0.1
66178,1.0
88379,1.0
4503,1.0
40879,3.0
87947,8.0
87690,5.0
92999,5.0
79804,1.0
50377,1.0
76065,1.0
74929,3.0
102714,2.0
16154,3.0
57419,1.1
15104,1.0
233,4.0
26157,3.0
92296,1.0
12864,1.0
94578,4.0
102086,0.0
3105,2.0
8162,2.0
1852,1.0
29644,3.0
83175,4.0
6880,0.1
53040,2.0
40933,2.0
85173,0.0
82464,1.0
87441,2.0
7023,3.0
81717,2.0
83340,2.0
21602,2.0
16001,1.0
11166,4.0
71254,2.0
79687,6.0
66,1.0
30753,1.0
50326,4.0
68940,2.0
76061,2.0
79383,5.0
2287,1.0
92577,6.0
85835,3.0
35796,2.0
14449,2.0
62250,1.0
22504,2.0
13873,1.0
97737,3.1
69292,1.0
41882,2.0
25921,3.0
60399,2.0
81851,4.0
22556,2.0
63330,3.0
87835,1.0
91022,2.0
38188,2.0
32899,1.0
95758,2.0
24386,1.0
65585,2.0
37601,2.0
1531,0.1
97119,3.0
70850,4.0
70615,1.0
18319,3.0
32081,2.0
63041,2.0
35690,7.0
100332,1.0
70566,2.1
83685,0.0
66289,0.0
94125,5.0
29926,1.0
95442,2.0
84317,3.0
83508,4.0
97331,4.0
37560,0.0
53322,1.0
10880,4.0
43099,5.0
11183,1.0
44979,1.0
79281,1.0
34068,3.0
11753,3.0
94428,1.0
79976,2.0
54801,1.0
88699,2.0
22116,0.0
36702,0.1
27099,2.0
54740,1.1
52593,2.0
54403,3.0
23467,2.0
18270,8.0
89716,2.0
1540,1.0
11481,1.0
80155,3.0
92893,0.1
41347,1.0
17431,2.0
82948,3.0
81817,2.0
94806,1.0
5137,1.0
40629,5.0
87598,5.0
14769,6.0
9075,3.0
87509,2.0
15440,1.0
43971,1.0
100321,2.0
62046,1.0
93243,5.0
15649,2.0
93934,0.0
1195,1.0
82711,1.0
7781,2.0
40593,2.0
52897,2.0
33623,3.0
68759,1.0
20089,2.0
94259,1.0
4828,3.1
6377,1.0
38283,1.0
12,3.0
94354,3.0
58548,7.0
53629,0.0
84665,1.0
57461,1.0
58418,1.0
45256,1.0
15094,2.0
16021,0.1
71351,4.0
58016,1.0
18080,2.0
66419,0.0
94080,3.0
67965,1.0
30061,6.0
13208,0.1
48502,0.0
30018,0.1
80531,1.0
65945,0.0
87033,1.0
3204,3.0
26451,1.0
36961,2.1
86771,1.0
102007,1.0
48204,2.0
15604,6.0
95647,2.0
938,2.0
28893,1.1
91456,3.0
31862,8.1
10700,1.1
81963,1.0
96001,3.0
71380,6.0
4290,1.0
77764,0.0
9941,0.0
14232,2.0
15533,2.0
39309,2.0
77525,1.0
52471,3.0
91233,1.0
90580,2.0
78226,2.0
67388,1.0
73869,2.0
12726,2.0
73067,6.0
37385,3.0
52445,3.0
96392,2.0
54124,6.0
64834,1.0
47898,1.0
88961,2.0
22629,2.0
94093,2.0
93667,4.0
30906,3.0
57394,4.0
63899,3.0
97112,4.0
11247,0.0
1654,2.0
77117,1.0
25269,3.0
42724,2.0
102584,1.0
15252,1.0
19306,1.0
55691,2.0
63049,2.0
99876,5.0
45006,1.0
28473,4.0
3058,4.0
102257,1.0
35333,2.0
46004,3.0
88130,0.1
19429,0.0
55022,1.0
87785,2.0
83034,6.1
60656,5.0
28297,6.0
42588,4.0
71971,1.0
65399,1.0
48945,6.1
313,1.0
53001,2.0
36686,1.0
77429,1.0
61384,3.1
29673,0.0
55283,3.0
25960,1.0
64697,6.0
51650,4.0
68425,2.0
40392,1.0
87448,5.0
82892,2.0
57876,2.0
83383,2.0
84324,0.1
66799,1.0
68927,2.0
102248,1.0
66851,1.0
30141,1.0
84312,2.0
23717,2.0
75850,2.0
22800,4.0
76661,4.0
51136,1.0
89863,2.0
6579,1.0
82549,5.0
12055,8.1
83460,2.0
92678,1.0
28565,2.0
83468,6.0
70153,1.0
51873,2.0
80637,4.0
56912,3.0
22934,1.0
11244,2.0
72244,4.0
36541,5.0
89165,4.0
202,1.0
89777,4.0
50979,1.1
50136,0.0
91526,1.0
98737,0.1
7258,0.0
78684,2.0
69452,4.0
48274,1.0
51183,1.0
8479,2.0
77766,2.0
17455,3.0
7906,3.0
81560,3.0
44261,2.0
86754,4.0
68450,3.0
91191,3.0
86917,2.0
63657,3.0
83200,1.0
56263,2.0
35233,2.0
40469,1.0
33611,2.0
88865,4.0
28326,2.0
84837,3.0
45586,2.0
63524,0.1
1674,1.0
33339,1.0
78422,0.1
88063,3.0
75957,6.0
1230,4.1
94086,2.0
70406,2.0
98977,1.0
50744,2.0
44768,1.0
24906,4.0
18599,2.0
37702,1.0
46838,2.0
48882,2.0
47561,1.0
68563,8.0
16060,0.0
92476,2.0
78270,0.0
59745,1.0
23094,1.0
18062,1.0
59310,4.0
80874,3.0
14465,3.1
96168,4.0
85536,2.0
51041,2.0
96451,1.0
50365,4.0
73526,0.0
18979,1.0
14183,1.0
27401,5.0
8965,1.0
52867,2.0
85376,2.1
55080,2.0
49785,1.0
438,1.0
61252,1.0
10608,1.0
829,1.0
84139,1.0
