dog_id,pa_hot_weather_daily_hours_outside,pa_cold_weather_daily_hours_outside,pa_moderate_weather_daily_hours_outside
10509,1.0,1.0,1.0
74227,1.0,1.0,2.0
32487,1.0,1.0,2.0
33369,1.0,2.0,2.0
72814,1.0,1.0,1.0
72448,1.0,1.0,1.0
98151,1.0,1.0,1.0
41276,1.0,1.0,1.0
7580,1.0,5.0,1.0
37013,5.0,5.0,1.0
59622,1.0,1.0,2.0
86809,1.0,1.0,1.0
4851,1.0,1.0,1.0
94185,1.0,1.0,1.0
58481,1.0,1.0,1.0
90138,1.0,1.0,2.0
89528,2.0,1.0,2.0
86996,1.0,5.0,1.0
81878,1.0,1.0,1.0
4991,1.0,2.0,1.0
98084,1.0,1.0,1.0
13220,1.0,1.0,1.0
3032,1.0,1.0,1.0
81638,1.0,1.0,2.0
30845,5.0,5.0,1.0
40444,1.0,1.0,2.0
50472,1.0,1.0,2.0
44458,1.0,1.0,1.0
10736,1.0,1.0,1.0
47203,1.0,1.0,2.0
26197,1.0,1.0,1.0
3854,5.0,5.0,5.0
2650,1.0,2.0,2.0
47405,1.0,1.0,1.0
83131,1.0,1.0,2.0
95463,1.0,2.0,2.0
85746,1.0,1.0,1.0
1485,1.0,1.0,2.0
58788,5.0,5.0,5.0
45726,1.0,1.0,1.0
78733,2.0,2.0,2.0
93573,1.0,1.0,2.0
101896,1.0,1.0,1.0
84142,1.0,1.0,2.0
3529,2.0,1.0,1.0
51200,2.0,2.0,3.0
68354,2.0,4.0,4.0
79793,1.0,1.0,1.0
70330,5.0,5.0,1.0
14311,2.0,1.0,2.0
68318,1.0,1.0,1.0
88409,1.0,5.0,1.0
72028,1.0,5.0,5.0
100120,1.0,1.0,2.0
4275,1.0,1.0,2.0
101864,1.0,1.0,1.0
84091,2.0,2.0,2.0
32210,1.0,1.0,1.0
96127,1.0,1.0,1.0
43176,1.0,2.0,2.0
59144,1.0,1.0,1.0
66307,2.0,1.0,2.0
78602,1.0,1.0,1.0
50916,1.0,1.0,2.0
78065,2.0,1.0,2.0
87273,2.0,2.0,2.0
34475,5.0,5.0,1.0
85745,1.0,5.0,1.0
63794,1.0,1.0,1.0
65420,1.0,1.0,2.0
92020,2.0,2.0,3.0
94987,2.0,2.0,2.0
55871,1.0,1.0,1.0
29345,1.0,1.0,2.0
90006,1.0,1.0,1.0
94976,1.0,1.0,2.0
51049,1.0,1.0,2.0
91012,2.0,1.0,3.0
97803,1.0,1.0,1.0
48626,2.0,1.0,1.0
63300,1.0,1.0,1.0
29044,2.0,2.0,2.0
7154,1.0,1.0,2.0
50115,1.0,1.0,1.0
60759,1.0,1.0,2.0
56903,2.0,1.0,2.0
6441,1.0,1.0,1.0
79834,2.0,1.0,2.0
77978,1.0,1.0,1.0
5240,1.0,1.0,1.0
19636,1.0,1.0,1.0
45805,1.0,1.0,1.0
25333,1.0,1.0,1.0
28324,1.0,1.0,1.0
17268,1.0,1.0,1.0
58977,1.0,1.0,1.0
102685,1.0,2.0,2.0
72205,1.0,1.0,1.0
60642,1.0,1.0,1.0
4114,1.0,1.0,1.0
97654,1.0,1.0,2.0
64678,1.0,1.0,1.0
33038,1.0,1.0,2.0
45597,1.0,1.0,1.0
98656,1.0,5.0,1.0
90391,3.0,3.0,3.0
42137,1.0,1.0,1.0
80393,1.0,1.0,2.0
91490,2.0,2.0,2.0
31125,1.0,1.0,1.0
95384,1.0,1.0,1.0
60016,1.0,5.0,1.0
54244,1.0,1.0,2.0
55230,5.0,1.0,1.0
42675,1.0,1.0,1.0
83352,1.0,1.0,1.0
77404,1.0,1.0,1.0
42691,1.0,1.0,1.0
62801,1.0,1.0,1.0
61524,1.0,1.0,2.0
64635,1.0,1.0,1.0
28064,1.0,2.0,2.0
66178,1.0,1.0,1.0
88379,1.0,1.0,1.0
4503,5.0,5.0,5.0
87947,2.0,3.0,3.0
87690,2.0,1.0,2.0
92999,1.0,1.0,1.0
79804,1.0,1.0,1.0
50377,5.0,1.0,1.0
76065,1.0,1.0,1.0
16154,1.0,1.0,1.0
57419,1.0,1.0,1.0
26157,1.0,1.0,2.0
92296,5.0,1.0,1.0
3105,1.0,1.0,1.0
8162,1.0,1.0,2.0
1852,1.0,1.0,1.0
83175,1.0,1.0,2.0
6880,1.0,1.0,1.0
53040,1.0,1.0,1.0
40933,1.0,1.0,1.0
82464,1.0,1.0,1.0
7023,5.0,1.0,1.0
81717,2.0,2.0,2.0
83340,1.0,1.0,1.0
21602,1.0,1.0,1.0
11166,1.0,1.0,1.0
71254,1.0,1.0,1.0
79687,1.0,1.0,1.0
66,1.0,1.0,1.0
30753,5.0,5.0,5.0
50326,1.0,2.0,2.0
68940,1.0,1.0,1.0
76061,2.0,1.0,2.0
79383,1.0,1.0,1.0
2287,1.0,1.0,1.0
92577,2.0,2.0,2.0
85835,1.0,1.0,1.0
35796,1.0,1.0,2.0
14449,1.0,1.0,1.0
22504,1.0,2.0,2.0
13873,1.0,5.0,1.0
69292,1.0,1.0,1.0
41882,1.0,1.0,2.0
25921,5.0,5.0,1.0
60399,5.0,1.0,1.0
81851,1.0,2.0,2.0
22556,1.0,1.0,1.0
63330,1.0,2.0,2.0
87835,1.0,1.0,1.0
91022,1.0,1.0,1.0
32899,1.0,1.0,2.0
95758,1.0,1.0,1.0
24386,1.0,1.0,1.0
65585,1.0,1.0,1.0
37601,1.0,1.0,1.0
1531,1.0,1.0,1.0
97119,1.0,1.0,2.0
70850,2.0,2.0,2.0
70615,1.0,1.0,1.0
18319,1.0,1.0,2.0
32081,1.0,1.0,1.0
63041,2.0,2.0,2.0
100332,1.0,1.0,1.0
70566,1.0,1.0,1.0
83685,1.0,1.0,1.0
66289,1.0,1.0,1.0
94125,1.0,1.0,1.0
29926,1.0,2.0,2.0
95442,1.0,1.0,1.0
84317,1.0,1.0,1.0
83508,1.0,1.0,2.0
97331,1.0,1.0,2.0
37560,5.0,5.0,1.0
53322,5.0,5.0,1.0
10880,1.0,2.0,2.0
43099,5.0,1.0,2.0
11183,1.0,1.0,1.0
44979,1.0,5.0,1.0
79281,1.0,1.0,1.0
34068,2.0,2.0,2.0
11753,1.0,1.0,1.0
79976,1.0,1.0,1.0
54801,1.0,1.0,1.0
88699,1.0,1.0,1.0
52593,1.0,1.0,1.0
54403,1.0,2.0,2.0
23467,1.0,5.0,1.0
18270,1.0,1.0,1.0
89716,5.0,1.0,1.0
11481,1.0,1.0,1.0
80155,1.0,2.0,2.0
92893,1.0,1.0,1.0
17431,5.0,5.0,1.0
82948,1.0,1.0,1.0
81817,1.0,1.0,1.0
40629,1.0,1.0,2.0
87598,1.0,2.0,2.0
14769,1.0,1.0,2.0
9075,1.0,1.0,2.0
87509,1.0,1.0,1.0
43971,2.0,1.0,2.0
100321,1.0,1.0,2.0
93243,1.0,1.0,2.0
15649,2.0,1.0,2.0
1195,1.0,1.0,1.0
82711,5.0,5.0,1.0
7781,1.0,1.0,1.0
52897,1.0,1.0,1.0
33623,1.0,1.0,2.0
68759,1.0,1.0,1.0
20089,1.0,1.0,1.0
94259,1.0,1.0,1.0
4828,5.0,1.0,2.0
38283,2.0,1.0,2.0
12,1.0,1.0,1.0
94354,1.0,1.0,1.0
57461,1.0,1.0,2.0
15094,2.0,1.0,2.0
16021,1.0,2.0,2.0
71351,1.0,1.0,1.0
58016,1.0,1.0,2.0
18080,1.0,1.0,1.0
66419,1.0,1.0,1.0
94080,1.0,1.0,1.0
67965,1.0,1.0,2.0
13208,1.0,1.0,1.0
30018,1.0,1.0,1.0
80531,1.0,1.0,1.0
65945,1.0,1.0,2.0
87033,1.0,1.0,1.0
3204,1.0,1.0,1.0
26451,1.0,1.0,1.0
36961,1.0,1.0,1.0
48204,5.0,1.0,1.0
15604,2.0,2.0,2.0
95647,1.0,1.0,2.0
91456,1.0,1.0,2.0
31862,5.0,5.0,1.0
10700,1.0,1.0,1.0
81963,1.0,1.0,2.0
71380,1.0,1.0,2.0
4290,1.0,1.0,1.0
77764,1.0,1.0,1.0
9941,5.0,5.0,5.0
14232,1.0,1.0,1.0
15533,1.0,2.0,2.0
39309,1.0,1.0,1.0
77525,1.0,1.0,2.0
52471,2.0,1.0,2.0
91233,2.0,2.0,3.0
78226,1.0,2.0,1.0
67388,1.0,1.0,1.0
12726,2.0,1.0,2.0
73067,1.0,1.0,2.0
52445,1.0,1.0,2.0
96392,1.0,1.0,1.0
54124,1.0,1.0,1.0
47898,1.0,1.0,1.0
88961,1.0,1.0,2.0
94093,1.0,1.0,1.0
93667,1.0,1.0,1.0
30906,1.0,1.0,1.0
57394,1.0,2.0,2.0
97112,1.0,1.0,2.0
11247,1.0,1.0,1.0
1654,1.0,1.0,1.0
77117,2.0,2.0,2.0
25269,1.0,1.0,1.0
42724,1.0,1.0,1.0
102584,1.0,1.0,2.0
15252,5.0,5.0,1.0
19306,1.0,5.0,2.0
55691,1.0,1.0,1.0
63049,1.0,1.0,1.0
99876,1.0,2.0,2.0
45006,1.0,1.0,1.0
28473,1.0,1.0,2.0
3058,1.0,2.0,2.0
102257,1.0,1.0,1.0
35333,1.0,1.0,1.0
46004,1.0,1.0,2.0
88130,1.0,1.0,2.0
19429,5.0,5.0,1.0
55022,2.0,1.0,2.0
87785,1.0,1.0,2.0
83034,1.0,1.0,2.0
60656,1.0,2.0,2.0
28297,5.0,5.0,1.0
42588,1.0,1.0,1.0
71971,1.0,1.0,1.0
65399,1.0,1.0,1.0
53001,5.0,1.0,1.0
77429,1.0,1.0,1.0
61384,1.0,1.0,1.0
29673,1.0,1.0,1.0
25960,1.0,1.0,1.0
64697,1.0,2.0,2.0
68425,1.0,1.0,1.0
40392,5.0,5.0,1.0
87448,1.0,2.0,2.0
82892,1.0,1.0,2.0
83383,1.0,1.0,1.0
