dog_id,oc_primary_residence_census_division
10509,4.0
74227,5.0
32487,5.0
63150,9.0
33369,3.0
72814,3.0
72448,4.0
98151,5.0
76173,3.0
41276,5.0
82000,9.0
7580,8.0
37013,9.0
59622,9.0
81907,9.0
86809,1.0
85097,9.0
4851,5.0
40687,9.0
94185,8.0
97071,9.0
58481,3.0
90138,2.0
60866,8.0
89528,5.0
86996,8.0
81878,8.0
73822,8.0
4991,7.0
98084,4.0
13220,7.0
3032,1.0
81638,2.0
30845,5.0
40444,8.0
50472,5.0
7426,9.0
44458,2.0
6380,9.0
35215,5.0
55951,5.0
10736,8.0
47203,1.0
26197,3.0
3854,5.0
2650,9.0
47405,1.0
83131,2.0
95463,9.0
85746,5.0
1485,9.0
58788,3.0
45726,5.0
78733,9.0
93573,4.0
101896,1.0
71108,5.0
84142,1.0
3529,6.0
44789,9.0
51200,9.0
68354,4.0
83240,5.0
79793,9.0
70330,5.0
14311,8.0
68318,7.0
88409,5.0
72028,9.0
100120,3.0
5286,7.0
72889,5.0
4275,4.0
101864,5.0
84091,7.0
32210,1.0
96127,7.0
43176,1.0
59144,5.0
66307,3.0
78602,3.0
73375,7.0
50916,6.0
78065,9.0
87273,5.0
34475,8.0
85745,9.0
42476,9.0
63794,9.0
65420,3.0
92020,7.0
94987,8.0
55871,9.0
29345,2.0
90006,5.0
51348,9.0
94976,4.0
51049,3.0
91012,9.0
8875,9.0
97803,9.0
48626,8.0
63300,8.0
10607,7.0
29044,3.0
7154,3.0
89925,9.0
50115,9.0
60759,9.0
56903,5.0
6441,2.0
79834,9.0
77978,4.0
5240,8.0
19636,6.0
45805,9.0
25333,5.0
53790,7.0
28324,5.0
17268,9.0
58977,6.0
15557,9.0
102685,4.0
72205,8.0
60642,3.0
69116,9.0
4114,2.0
97654,7.0
64678,7.0
33038,9.0
72234,5.0
45597,5.0
69397,8.0
98656,7.0
90391,8.0
3476,9.0
20897,5.0
42137,3.0
80393,9.0
91490,5.0
31125,2.0
95384,8.0
60016,2.0
54244,4.0
55230,3.0
42675,5.0
83352,2.0
77404,8.0
42691,4.0
62801,9.0
61524,9.0
64635,1.0
95151,8.0
28064,8.0
66178,3.0
88379,5.0
4503,9.0
40879,9.0
87947,6.0
87690,1.0
92999,3.0
79804,3.0
50377,5.0
76065,3.0
74929,9.0
102714,8.0
16154,5.0
57419,7.0
15104,5.0
233,9.0
26157,5.0
92296,8.0
12864,5.0
94578,5.0
102086,7.0
3105,8.0
8162,3.0
1852,9.0
29644,5.0
83175,8.0
6880,3.0
53040,2.0
40933,1.0
85173,7.0
82464,3.0
87441,9.0
7023,1.0
81717,9.0
83340,2.0
21602,7.0
16001,9.0
11166,4.0
71254,3.0
79687,3.0
66,3.0
30753,4.0
50326,8.0
68940,1.0
76061,3.0
79383,9.0
2287,5.0
92577,7.0
85835,4.0
35796,9.0
14449,2.0
62250,9.0
22504,7.0
13873,4.0
97737,1.0
69292,2.0
41882,3.0
25921,2.0
60399,3.0
81851,3.0
22556,4.0
63330,6.0
87835,1.0
91022,5.0
38188,9.0
32899,9.0
95758,9.0
24386,2.0
