dog_id,rounded_age_years
10509,16.0
74227,2.0
33369,2.0
72814,5.0
72448,11.0
76173,6.0
41276,3.0
7580,7.0
37013,4.0
59622,5.0
81907,13.0
86809,4.0
85097,7.0
4851,14.0
40687,5.0
94185,6.0
97071,18.0
58481,2.0
90138,5.0
60866,9.0
89528,0.0
86996,14.0
81878,5.0
4991,5.0
13220,7.0
3032,3.0
81638,8.0
40444,4.0
50472,9.0
7426,12.0
44458,3.0
6380,14.0
35215,3.0
55951,5.0
10736,12.0
47203,4.0
26197,13.0
3854,16.0
2650,14.0
47405,5.0
83131,0.0
95463,8.0
85746,6.0
58788,13.0
45726,1.0
78733,4.0
93573,8.0
84142,5.0
3529,12.0
44789,8.0
51200,9.0
68354,2.0
83240,7.0
79793,4.0
70330,14.0
88409,9.0
72028,15.0
100120,7.0
72889,5.0
4275,2.0
101864,6.0
84091,2.0
32210,3.0
96127,16.0
43176,3.0
59144,2.0
66307,4.0
78602,14.0
73375,12.0
50916,2.0
78065,5.0
87273,2.0
85745,15.0
42476,1.0
65420,11.0
92020,11.0
94987,1.0
55871,13.0
29345,15.0
90006,9.0
51348,2.0
94976,3.0
51049,10.0
91012,4.0
8875,1.0
97803,5.0
48626,2.0
63300,3.0
10607,7.0
29044,2.0
7154,14.0
50115,14.0
60759,3.0
56903,3.0
6441,11.0
79834,8.0
77978,7.0
5240,11.0
19636,0.0
45805,7.0
25333,1.0
53790,3.0
17268,11.0
58977,5.0
15557,8.0
102685,2.0
72205,12.0
69116,1.0
4114,7.0
97654,2.0
64678,5.0
33038,3.0
72234,2.0
45597,1.0
69397,12.0
98656,1.0
90391,1.0
3476,10.0
20897,2.0
42137,11.0
80393,12.0
91490,7.0
31125,13.0
95384,3.0
54244,9.0
55230,4.0
83352,12.0
77404,4.0
42691,1.0
62801,10.0
61524,1.0
28064,13.0
66178,2.0
88379,14.0
4503,13.0
87947,6.0
87690,8.0
92999,14.0
79804,3.0
50377,13.0
76065,16.0
74929,3.0
102714,1.0
57419,16.0
15104,3.0
233,15.0
26157,7.0
92296,8.0
94578,1.0
102086,4.0
3105,10.0
1852,6.0
29644,1.0
83175,3.0
6880,12.0
40933,10.0
85173,12.0
82464,11.0
87441,4.0
7023,10.0
81717,2.0
83340,8.0
21602,2.0
16001,16.0
11166,5.0
71254,6.0
79687,14.0
66,10.0
30753,14.0
50326,11.0
68940,4.0
76061,11.0
79383,8.0
2287,6.0
92577,1.0
35796,14.0
22504,1.0
13873,14.0
97737,2.0
69292,11.0
41882,6.0
25921,2.0
60399,2.0
81851,5.0
22556,7.0
63330,8.0
87835,13.0
91022,8.0
38188,7.0
32899,2.0
24386,7.0
65585,4.0
37601,10.0
1531,13.0
97119,3.0
70850,4.0
18319,3.0
32081,14.0
63041,7.0
70566,5.0
83685,12.0
66289,3.0
94125,4.0
29926,10.0
95442,0.0
84317,0.0
97331,1.0
37560,5.0
53322,12.0
43099,3.0
11183,11.0
79281,4.0
11753,5.0
94428,8.0
79976,8.0
54801,8.0
36702,6.0
27099,2.0
54740,12.0
52593,4.0
54403,4.0
23467,6.0
18270,3.0
89716,10.0
1540,11.0
11481,8.0
92893,2.0
41347,15.0
17431,14.0
82948,1.0
81817,1.0
94806,5.0
5137,4.0
40629,7.0
87598,9.0
9075,3.0
87509,4.0
62046,4.0
93243,8.0
15649,2.0
93934,0.0
1195,6.0
82711,5.0
7781,14.0
40593,5.0
52897,3.0
33623,2.0
68759,11.0
20089,12.0
94259,0.0
4828,11.0
38283,11.0
12,7.0
94354,9.0
58548,0.0
53629,7.0
84665,0.0
58418,2.0
45256,2.0
15094,2.0
16021,3.0
71351,2.0
58016,7.0
67965,10.0
30061,4.0
13208,8.0
48502,12.0
30018,7.0
65945,4.0
3204,11.0
26451,6.0
36961,6.0
86771,3.0
102007,9.0
15604,7.0
938,11.0
28893,13.0
91456,14.0
31862,6.0
10700,13.0
81963,8.0
96001,5.0
71380,12.0
4290,9.0
77764,6.0
9941,6.0
14232,9.0
15533,2.0
39309,6.0
77525,9.0
91233,11.0
90580,8.0
78226,6.0
67388,12.0
12726,3.0
73067,4.0
37385,10.0
52445,9.0
96392,1.0
54124,12.0
64834,9.0
47898,9.0
88961,7.0
22629,8.0
94093,9.0
30906,10.0
57394,4.0
63899,2.0
97112,7.0
11247,12.0
77117,2.0
25269,14.0
42724,14.0
102584,15.0
19306,7.0
55691,6.0
99876,2.0
45006,8.0
28473,1.0
3058,4.0
102257,2.0
35333,4.0
88130,16.0
19429,12.0
55022,11.0
87785,1.0
83034,9.0
28297,8.0
42588,13.0
65399,9.0
48945,1.0
36686,2.0
61384,2.0
55283,10.0
25960,3.0
64697,2.0
51650,2.0
68425,4.0
82892,3.0
57876,2.0
83383,0.0
84324,1.0
66799,10.0
68927,2.0
102248,8.0
30141,14.0
84312,1.0
23717,12.0
75850,7.0
22800,4.0
76661,11.0
51136,12.0
89863,5.0
6579,10.0
82549,1.0
12055,8.0
83460,15.0
92678,8.0
28565,6.0
83468,4.0
70153,6.0
80637,5.0
22934,14.0
11244,6.0
72244,8.0
36541,5.0
89165,10.0
202,13.0
89777,0.0
50979,3.0
50136,14.0
91526,5.0
98737,12.0
7258,4.0
78684,9.0
69452,4.0
48274,12.0
51183,8.0
8479,10.0
77766,9.0
17455,3.0
7906,9.0
81560,1.0
44261,1.0
