dog_id,dd_breed_pure_or_mixed
10509,1
74227,1
32487,0
63150,1
33369,1
72814,1
72448,0
98151,1
76173,1
41276,0
82000,1
7580,0
37013,1
59622,0
81907,0
86809,1
85097,0
4851,1
40687,0
94185,1
97071,1
58481,1
90138,1
60866,0
89528,1
86996,0
81878,0
73822,1
4991,1
98084,0
13220,1
3032,1
81638,0
30845,0
40444,1
50472,0
7426,1
44458,0
6380,0
35215,0
55951,1
10736,0
47203,0
26197,1
3854,1
2650,0
47405,0
83131,0
95463,0
85746,1
1485,1
58788,0
45726,0
78733,1
93573,0
101896,1
71108,1
84142,0
3529,1
44789,1
51200,0
68354,1
83240,0
79793,0
70330,1
14311,1
68318,1
88409,1
72028,0
100120,0
5286,1
72889,1
4275,1
101864,0
84091,0
32210,0
96127,1
43176,1
59144,1
66307,0
78602,0
73375,1
50916,0
78065,0
87273,1
34475,1
85745,0
42476,1
63794,1
65420,0
92020,0
94987,0
55871,1
29345,1
90006,1
51348,0
94976,0
51049,1
91012,1
8875,0
97803,0
48626,0
63300,0
10607,0
29044,1
7154,1
89925,1
50115,0
60759,1
56903,1
6441,0
79834,0
77978,0
5240,0
19636,1
45805,1
25333,0
53790,0
28324,1
17268,0
58977,1
15557,0
102685,1
72205,0
60642,1
69116,1
4114,0
97654,1
64678,0
33038,1
72234,0
45597,0
69397,1
98656,1
90391,0
3476,0
20897,0
42137,0
80393,1
91490,0
31125,0
95384,1
60016,0
54244,0
55230,0
42675,1
83352,1
77404,0
42691,0
62801,1
61524,1
64635,1
95151,1
28064,1
66178,0
88379,1
4503,1
40879,1
87947,0
87690,0
92999,1
79804,1
50377,0
76065,0
74929,0
102714,1
16154,1
57419,1
15104,1
233,0
26157,0
92296,0
12864,1
94578,1
102086,1
3105,1
8162,1
1852,0
29644,0
83175,0
6880,0
53040,1
40933,0
85173,0
82464,0
87441,1
7023,1
81717,0
83340,1
21602,0
16001,1
11166,1
71254,0
79687,0
66,0
30753,0
50326,0
68940,0
76061,0
79383,1
2287,1
92577,1
85835,1
35796,0
14449,1
62250,1
22504,0
13873,0
97737,0
69292,0
41882,0
25921,0
60399,0
81851,0
22556,0
63330,1
87835,0
91022,1
38188,1
32899,1
95758,0
24386,0
65585,1
37601,0
1531,1
97119,1
70850,0
70615,1
18319,0
32081,1
63041,1
35690,1
100332,1
70566,0
83685,1
66289,1
94125,0
29926,0
95442,0
84317,1
83508,1
97331,0
37560,0
53322,0
10880,1
43099,0
11183,1
44979,1
79281,1
34068,0
11753,0
94428,0
79976,1
54801,0
88699,1
22116,1
36702,1
27099,0
54740,0
52593,1
54403,1
23467,0
18270,0
89716,1
1540,0
11481,1
80155,1
92893,0
41347,0
17431,0
82948,0
81817,1
94806,0
5137,0
40629,1
87598,0
14769,1
9075,0
87509,0
15440,1
43971,1
100321,1
62046,1
93243,0
15649,0
93934,1
1195,1
82711,1
7781,1
40593,0
52897,1
33623,0
68759,0
20089,0
94259,1
4828,0
6377,0
38283,1
12,1
94354,1
58548,0
53629,0
84665,0
57461,0
58418,1
45256,1
15094,0
16021,1
71351,1
58016,0
18080,1
66419,1
94080,1
67965,0
30061,0
13208,0
48502,1
30018,1
80531,0
65945,0
87033,0
3204,0
26451,1
36961,0
86771,1
102007,1
48204,1
15604,1
95647,1
938,0
28893,0
91456,1
31862,1
10700,1
81963,0
96001,1
71380,0
4290,1
77764,1
9941,0
14232,0
15533,0
39309,1
77525,1
52471,1
91233,1
90580,1
78226,0
67388,0
73869,1
12726,1
73067,0
37385,0
52445,1
96392,1
54124,1
64834,1
47898,1
88961,1
22629,1
94093,0
93667,0
30906,0
57394,0
63899,0
97112,0
11247,0
1654,0
77117,0
25269,1
42724,1
102584,0
15252,0
19306,1
55691,0
63049,1
99876,1
45006,0
28473,1
3058,1
102257,0
35333,1
46004,0
88130,0
19429,1
55022,1
87785,1
83034,0
60656,1
28297,1
42588,1
71971,1
65399,0
48945,0
313,1
53001,1
36686,1
77429,1
61384,1
29673,0
55283,0
25960,1
64697,1
51650,0
68425,0
40392,1
87448,0
82892,1
57876,1
83383,0
84324,1
66799,1
68927,1
102248,1
66851,1
30141,1
84312,1
23717,1
75850,1
22800,1
76661,0
51136,1
89863,1
6579,1
82549,1
12055,0
83460,1
92678,1
28565,0
83468,1
70153,1
51873,1
80637,1
56912,1
22934,0
11244,0
72244,1
36541,0
89165,0
202,1
89777,1
50979,0
50136,1
91526,1
98737,1
7258,1
78684,0
69452,1
48274,1
51183,0
8479,0
77766,0
17455,1
7906,0
81560,0
44261,1
86754,0
68450,1
91191,0
86917,0
63657,1
83200,0
56263,1
35233,1
40469,1
33611,1
88865,0
28326,1
84837,0
45586,1
63524,1
1674,1
33339,1
78422,0
88063,1
75957,0
1230,0
94086,1
70406,1
98977,0
50744,1
44768,0
24906,0
18599,1
37702,1
46838,0
48882,1
47561,1
68563,0
16060,0
92476,0
78270,1
59745,0
23094,0
18062,0
59310,1
80874,1
14465,0
96168,0
85536,1
51041,0
96451,0
50365,0
73526,0
18979,1
14183,0
27401,1
8965,0
52867,0
85376,1
55080,1
49785,0
438,0
61252,0
10608,1
829,0
84139,1
82574,1
76867,0
67387,0
2346,1
13049,1
56513,0
49326,1
41330,1
90779,1
61323,1
50323,0
59343,0
85350,1
49864,0
36052,0
61010,1
78299,1
97524,0
95390,0
88011,1
13062,1
29534,0
94923,0
72357,0
53900,1
37731,1
59348,0
36936,0
27291,0
30363,1
18632,1
90300,1
78740,1
51654,1
90488,0
66168,0
89422,0
37435,0
97451,0
57641,0
97242,1
9597,1
92843,0
88540,1
100530,1
67462,1
16848,0
11445,1
87428,0
37049,0
87212,1
13473,1
82476,0
4625,1
87176,1
24615,0
83971,1
84514,0
99844,0
95239,1
23613,1
24999,0
28680,0
88311,1
42260,1
36831,1
72592,1
102506,1
100426,1
30763,1
75217,0
74110,0
7463,0
28972,1
51415,1
70568,0
13353,0
57081,0
85954,0
92666,1
51758,1
98819,1
95532,0
61964,0
83410,1
70146,1
37264,0
91594,0
22330,0
48805,1
103199,1
95683,1
58077,1
9280,1
2381,1
15019,0
94953,0
42842,1
87328,0
34009,1
31014,1
32214,1
95231,0
60082,0
89538,0
53277,0
74311,1
5351,1
48556,1
15948,0
11690,1
54550,0
16086,0
79749,0
26537,1
29247,0
89294,1
31913,0
72992,1
34270,1
85513,1
22866,1
13779,1
41923,1
99659,1
3830,1
40472,0
36300,0
35114,1
913,0
51360,0
88861,0
100576,0
19039,1
87693,0
18294,0
93909,1
32696,1
93328,0
68234,1
74236,1
7071,1
99266,0
79234,0
53316,0
100235,0
20241,1
70967,1
67494,1
96715,0
88840,1
82974,0
67773,1
97144,1
71757,1
1934,0
85540,0
79728,0
37924,1
93175,0
29729,1
94103,0
64001,1
83218,0
32864,0
47897,0
26924,0
50149,0
32608,1
72341,0
103643,1
60355,1
57877,0
65921,1
60766,0
11441,0
53495,1
93192,0
76934,1
93545,0
332,1
63683,1
82216,0
42944,1
78552,0
35164,0
76436,0
52686,0
91111,1
13615,0
60227,1
41721,1
92918,0
90007,0
88499,1
90725,0
71288,1
2172,0
83980,1
95593,0
10573,1
90082,0
613,1
46445,1
67331,1
78136,1
32959,1
95378,0
39609,0
21653,0
44855,0
98365,0
86392,1
40360,0
38217,0
78286,0
67276,1
19291,1
56422,0
91235,0
23149,0
93825,0
59111,0
2010,0
12687,0
61024,0
61432,1
75397,1
87435,0
90058,0
98426,0
42896,0
28651,1
41099,0
1033,1
79350,0
32823,0
27014,1
32428,0
91178,0
81207,0
13967,0
6180,0
8811,1
58982,1
78224,1
60109,0
15016,1
62658,0
55971,0
69531,0
88233,0
102013,0
103266,1
74420,1
38284,0
67635,1
47399,0
45670,1
43414,0
76682,0
58784,0
20048,0
86192,0
21997,0
70822,1
82179,1
56462,0
57136,0
37880,0
37466,0
15544,0
62457,0
23176,0
13352,1
31956,0
70067,0
6054,1
12376,0
93453,1
88669,0
96178,0
62496,1
78005,0
89608,0
33554,0
85388,1
95603,1
53971,0
28245,0
37015,1
82490,0
25726,0
85319,0
99822,1
42423,0
75205,0
35793,1
37990,1
86071,1
97280,1
91577,1
487,0
38193,0
90516,0
42366,0
10438,1
85800,1
39742,0
20976,1
77456,0
83282,0
54310,0
15216,1
5475,1
84621,0
76989,1
34992,1
53462,1
53271,1
94829,0
69077,1
78202,0
98920,0
17728,0
56955,1
8328,1
14934,1
52825,1
90261,1
65897,1
62555,1
1285,0
55589,0
47558,1
70359,1
89151,0
62111,0
71359,1
94894,1
51533,1
17048,1
94935,0
88088,1
97453,1
92506,1
74996,1
13830,1
96096,0
86367,0
78384,0
86977,0
77932,1
75046,0
60283,1
58459,0
238,1
61585,1
35607,1
96737,0
84666,1
40243,1
89813,1
79607,0
101519,1
92979,1
2013,0
96056,1
65035,1
68784,1
75198,0
46475,1
18480,1
87072,1
72680,0
25690,0
70512,1
80946,0
89974,0
12485,1
61955,0
43603,1
29636,0
28142,1
36998,0
34072,0
45494,1
96194,0
81583,0
3017,0
30334,0
2628,1
21105,1
9456,0
69957,1
85950,1
61099,1
96151,0
80205,0
90107,0
99570,1
84264,0
37556,1
27080,0
81807,0
81426,0
60350,0
97209,0
22500,1
29870,0
13514,1
95773,1
46665,0
18984,0
89735,1
85701,0
55361,1
63827,1
68018,0
48711,0
34345,1
43729,1
21425,0
71342,1
65599,0
57453,1
5311,1
13529,1
88194,0
13014,0
73272,1
33661,1
57375,1
79511,0
103180,0
29993,1
93990,0
37797,0
62421,1
73471,0
14661,0
97810,0
86445,0
51225,1
63880,0
44305,1
12408,1
20974,1
69507,1
18450,0
93972,1
82760,0
36935,0
41002,0
3059,0
63065,1
61393,0
23967,0
54227,0
2275,1
88908,1
54213,1
40288,1
92028,1
86341,0
18461,1
82952,0
80857,1
38815,1
97490,1
67277,1
74173,1
15887,0
1448,1
66751,1
94874,0
70465,1
12412,1
88173,1
45438,0
60921,0
12887,1
66388,1
51232,0
87811,0
88512,1
78318,0
90883,0
44669,1
88615,1
49615,0
7265,1
28759,0
56228,1
83939,1
74316,0
98501,1
93885,1
23477,1
71526,0
45286,1
11483,0
90162,1
43754,0
79609,0
59875,1
71817,1
91118,1
102494,1
55785,0
78764,0
66795,1
85969,0
77622,1
36572,1
759,0
48043,0
47421,1
60063,0
24792,1
6223,0
61519,1
40380,0
2696,0
1113,1
30477,0
14846,0
27373,1
50313,1
4470,0
45708,1
94494,1
36644,0
100679,1
6425,1
3920,0
67816,0
16144,0
81298,0
80994,1
63686,0
95708,0
84439,0
78262,0
98353,1
13831,0
51035,1
27136,0
14042,1
65922,1
102628,0
75924,1
101149,0
85407,1
94558,0
52952,1
89620,0
99837,0
50708,0
57720,1
39521,1
6804,1
100803,1
99138,0
49669,1
74769,0
11558,0
25858,0
68608,0
27482,1
62436,1
86335,1
2571,0
70045,0
83891,1
71334,0
49303,0
23023,0
82541,0
19031,0
35705,0
56774,0
21060,0
6178,1
92812,1
12931,0
8541,0
54446,1
35376,0
21596,0
71433,0
98175,0
8382,0
80388,0
79773,1
43682,0
80957,1
47215,1
41462,0
47830,1
85670,1
73738,1
4908,0
38293,1
33357,0
98179,1
80608,1
29865,1
7026,0
84591,1
50673,0
92939,0
30840,0
3772,1
63767,0
101068,0
8161,1
95283,1
91273,0
40850,1
87683,0
52022,0
77593,1
1727,1
14728,1
52411,0
52928,0
49022,1
66951,1
29101,1
86102,1
77116,0
20832,1
46128,1
44866,0
100899,0
84740,1
90900,1
68111,0
88554,0
60420,1
32969,1
72557,0
6006,1
47229,1
84719,0
98359,0
58480,1
11354,0
52473,0
4365,1
29022,0
94933,0
10540,0
62293,0
70292,1
31706,0
81156,0
12886,1
55423,0
75170,0
83994,0
70856,0
29920,1
75329,1
72017,0
56010,0
45215,1
32910,1
102108,0
43774,0
94393,0
91039,0
3813,1
7860,1
62861,0
44083,1
10939,0
42960,1
57390,0
70072,1
39101,0
44463,0
48338,1
22354,0
81416,1
18053,0
50459,0
73606,0
49748,0
102097,1
92099,0
76833,0
87972,1
62494,1
43940,1
59560,0
51344,0
44285,0
39409,0
47800,0
90724,1
85120,0
47463,0
93418,0
90578,0
89068,1
95326,0
39385,0
88601,1
85606,0
45714,0
30709,0
72035,0
64516,1
65325,0
41468,1
88470,0
28966,0
77380,1
70596,0
29448,0
59754,1
18304,1
14452,0
38657,0
40175,0
93398,1
18268,1
2695,0
53947,0
90316,1
24286,0
33056,0
34508,0
13171,0
25617,1
15914,0
20436,0
22372,0
71243,1
102634,1
22597,1
58932,0
75016,0
86284,1
32017,0
29594,1
58315,0
19425,0
90171,1
35427,1
88155,1
3296,1
28645,1
8493,1
80586,0
100436,1
89507,1
48566,1
37100,0
47734,0
98563,0
24552,1
59044,0
82282,1
51718,0
43500,1
81004,0
89362,1
1636,0
21994,1
69919,0
88661,1
32641,0
40891,1
83137,0
47550,1
7843,1
20701,0
33882,1
52424,1
103608,0
28981,1
102980,0
88662,0
60599,1
30445,0
94784,0
59124,1
824,0
24721,1
60758,1
25249,1
26285,0
2358,1
79702,0
62794,1
8889,1
66454,0
80877,0
56450,1
54256,1
41196,0
22332,0
85156,1
83112,1
95619,1
27846,1
52231,0
89799,0
47656,1
11456,1
99032,0
75842,1
52333,1
31564,1
48627,1
69929,1
98354,1
47687,1
87501,1
64571,0
99022,1
16462,1
4748,0
36483,0
89564,0
903,0
97123,0
84972,1
81411,1
4841,1
21292,0
53251,0
14542,1
27658,0
82588,0
97559,1
80907,1
18016,0
4560,1
33944,1
15878,0
54707,1
6393,0
87723,0
81924,1
39433,0
18006,0
101190,1
22390,1
37867,0
87321,1
85301,0
30754,0
90257,0
79286,0
26060,0
71267,0
85829,0
11299,0
60958,1
49940,1
92745,1
95004,1
46245,1
95714,1
31786,1
63595,1
69404,0
76350,0
52920,1
57114,1
30001,0
77139,1
99781,0
7271,1
95954,1
76075,1
87238,0
96987,1
7521,0
54499,1
12294,0
99815,0
85812,1
13752,1
72399,0
15225,0
98586,0
2812,1
