dog_id,breed_type_Ancient and Spitz,breed_type_Herding dogs,breed_type_Mastiff-Like,breed_type_Mixed,breed_type_Retriever,breed_type_Scent Hounds,breed_type_Spaniels,breed_type_Terriers,breed_type_Toy dogs,breed_type_Working dogs
10509,False,True,False,False,False,False,False,False,False,False
74227,False,True,False,False,False,False,False,False,False,False
32487,False,False,False,False,False,False,False,False,True,False
63150,False,False,False,True,False,False,False,False,False,False
33369,True,False,False,False,False,False,False,False,False,False
72814,False,False,True,False,False,False,False,False,False,False
72448,False,False,False,False,False,False,True,False,False,False
98151,False,False,False,True,False,False,False,False,False,False
76173,False,False,True,False,False,False,False,False,False,False
41276,False,False,False,False,False,False,False,False,False,True
82000,False,True,False,False,False,False,False,False,False,False
7580,False,False,False,False,False,False,False,True,False,False
37013,False,True,False,False,False,False,False,False,False,False
59622,False,False,False,False,True,False,False,False,False,False
81907,False,False,False,False,False,False,False,False,True,False
86809,False,False,False,True,False,False,False,False,False,False
85097,False,False,True,False,False,False,False,False,False,False
4851,False,False,False,False,True,False,False,False,False,False
40687,False,False,False,False,True,False,False,False,False,False
94185,False,False,False,False,False,False,False,False,True,False
97071,True,False,False,False,False,False,False,False,False,False
58481,False,False,False,False,True,False,False,False,False,False
90138,False,False,False,True,False,False,False,False,False,False
60866,False,False,False,False,True,False,False,False,False,False
89528,False,False,False,True,False,False,False,False,False,False
86996,False,True,False,False,False,False,False,False,False,False
81878,False,False,False,False,False,False,False,False,True,False
73822,False,False,False,False,False,False,False,False,True,False
4991,False,False,False,True,False,False,False,False,False,False
98084,False,False,False,False,True,False,False,False,False,False
13220,False,True,False,False,False,False,False,False,False,False
3032,False,False,False,False,False,False,False,False,True,False
81638,False,False,False,False,True,False,False,False,False,False
30845,False,False,False,False,False,False,False,True,False,False
40444,False,False,True,False,False,False,False,False,False,False
50472,False,False,False,False,False,False,False,True,False,False
7426,True,False,False,False,False,False,False,False,False,False
44458,False,False,False,False,True,False,False,False,False,False
6380,False,False,False,False,False,False,False,False,False,True
35215,False,False,False,False,True,False,False,False,False,False
55951,False,False,False,False,True,False,False,False,False,False
10736,False,False,False,False,False,False,False,True,False,False
47203,False,False,True,False,False,False,False,False,False,False
26197,False,False,False,False,False,True,False,False,False,False
3854,False,False,False,True,False,False,False,False,False,False
2650,False,True,False,False,False,False,False,False,False,False
47405,False,False,False,False,True,False,False,False,False,False
83131,False,False,False,False,False,False,False,False,False,True
95463,False,True,False,False,False,False,False,False,False,False
85746,False,False,False,False,True,False,False,False,False,False
1485,False,False,True,False,False,False,False,False,False,False
58788,False,False,False,False,False,False,False,False,True,False
45726,False,False,True,False,False,False,False,False,False,False
78733,False,True,False,False,False,False,False,False,False,False
93573,False,True,False,False,False,False,False,False,False,False
101896,False,False,False,False,False,False,False,True,False,False
71108,False,False,False,False,False,False,False,True,False,False
84142,False,False,True,False,False,False,False,False,False,False
3529,False,False,False,False,False,False,False,True,False,False
44789,False,False,False,False,False,False,False,False,True,False
51200,False,False,False,False,False,False,False,False,False,True
68354,False,False,True,False,False,False,False,False,False,False
83240,False,False,False,False,False,False,True,False,False,False
79793,False,True,False,False,False,False,False,False,False,False
70330,False,True,False,False,False,False,False,False,False,False
14311,False,False,False,True,False,False,False,False,False,False
68318,False,False,False,True,False,False,False,False,False,False
88409,False,False,False,False,False,False,False,False,False,True
72028,False,False,False,False,True,False,False,False,False,False
100120,False,False,False,False,False,False,False,True,False,False
5286,False,False,False,True,False,False,False,False,False,False
72889,False,False,False,False,False,True,False,False,False,False
4275,False,False,False,False,True,False,False,False,False,False
101864,False,False,True,False,False,False,False,False,False,False
84091,False,False,False,False,False,False,False,False,False,True
32210,False,False,False,False,False,False,True,False,False,False
96127,False,False,False,False,False,False,True,False,False,False
43176,False,False,False,True,False,False,False,False,False,False
59144,False,False,True,False,False,False,False,False,False,False
66307,False,False,False,False,True,False,False,False,False,False
78602,False,False,False,False,False,True,False,False,False,False
73375,True,False,False,False,False,False,False,False,False,False
50916,False,False,False,False,True,False,False,False,False,False
78065,False,False,False,False,False,True,False,False,False,False
87273,False,True,False,False,False,False,False,False,False,False
34475,False,False,False,False,False,False,False,False,True,False
85745,False,False,False,False,True,False,False,False,False,False
42476,False,False,False,True,False,False,False,False,False,False
63794,False,False,True,False,False,False,False,False,False,False
65420,False,False,False,False,False,False,False,False,False,True
92020,False,True,False,False,False,False,False,False,False,False
94987,False,False,False,False,False,True,False,False,False,False
55871,False,False,False,True,False,False,False,False,False,False
29345,False,False,False,False,False,False,False,False,False,True
90006,False,True,False,False,False,False,False,False,False,False
51348,False,False,False,False,False,False,False,False,True,False
94976,False,False,False,False,True,False,False,False,False,False
51049,False,False,False,False,True,False,False,False,False,False
91012,False,False,False,False,True,False,False,False,False,False
8875,False,False,False,False,True,False,False,False,False,False
97803,False,False,False,False,False,True,False,False,False,False
48626,False,False,False,False,True,False,False,False,False,False
63300,False,False,True,False,False,False,False,False,False,False
10607,False,True,False,False,False,False,False,False,False,False
29044,False,True,False,False,False,False,False,False,False,False
7154,False,False,False,False,False,False,False,False,True,False
89925,False,False,False,False,False,False,False,False,False,True
50115,True,False,False,False,False,False,False,False,False,False
60759,False,False,False,False,False,True,False,False,False,False
56903,False,False,False,False,False,False,False,False,False,True
6441,False,False,False,False,False,False,False,True,False,False
79834,False,True,False,False,False,False,False,False,False,False
77978,False,False,False,False,True,False,False,False,False,False
5240,False,True,False,False,False,False,False,False,False,False
19636,False,False,False,True,False,False,False,False,False,False
45805,False,False,True,False,False,False,False,False,False,False
25333,False,False,False,False,False,False,False,False,False,True
53790,False,False,True,False,False,False,False,False,False,False
28324,False,True,False,False,False,False,False,False,False,False
17268,False,True,False,False,False,False,False,False,False,False
58977,False,False,True,False,False,False,False,False,False,False
15557,False,False,False,False,False,False,False,False,True,False
