dog_id,hs_health_conditions_eye,hs_health_conditions_ear,hs_health_conditions_oral,hs_health_conditions_skin,hs_health_conditions_cardiac,hs_health_conditions_respiratory,hs_health_conditions_gastrointestinal,hs_health_conditions_liver,hs_health_conditions_kidney,hs_health_conditions_reproductive,hs_health_conditions_orthopedic,hs_health_conditions_neurological,hs_health_conditions_endocrine,hs_health_conditions_hematologic,hs_health_conditions_immune,hs_health_conditions_infectious_disease,hs_health_conditions_toxin_consumption,hs_health_conditions_trauma,hs_health_conditions_cancer
10509,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
74227,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
32487,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
63150,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
72814,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72448,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
76173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
41276,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
82000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7580,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
37013,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
59622,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
81907,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
86809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85097,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4851,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
40687,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
94185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97071,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
58481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
90138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60866,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
89528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86996,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
81878,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
73822,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4991,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
98084,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
13220,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
3032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81638,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
30845,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
40444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50472,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
7426,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
44458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6380,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
55951,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
10736,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
47203,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3854,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2650,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
47405,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83131,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85746,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1485,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
58788,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
45726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93573,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
101896,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
71108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84142,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3529,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
44789,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1
51200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68354,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
83240,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79793,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
70330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14311,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0
68318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
88409,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
72028,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,1
100120,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
5286,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
72889,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
4275,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
101864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
84091,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
32210,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
96127,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
43176,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59144,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
66307,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78602,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
73375,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78065,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0
87273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
34475,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85745,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
42476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
63794,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
65420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
92020,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
94987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
55871,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0
29345,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
90006,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
51348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
94976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51049,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
91012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8875,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
97803,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
48626,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
63300,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
10607,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29044,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7154,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
89925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
50115,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
60759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
56903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6441,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
79834,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
77978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5240,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
19636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45805,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28324,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
17268,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
58977,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
15557,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
102685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
72205,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
60642,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
69116,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
4114,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
97654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64678,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
33038,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
72234,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69397,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1
98656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3476,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20897,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
42137,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
80393,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
91490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
