dog_id,df_feedings_per_day,df_diet_consistency,df_supplements,df_primary_diet_component_organic,df_primary_diet_component_grain_free
10509,2,1,True,False,True
74227,2,1,True,False,True
32487,2,1,False,False,True
63150,2,1,False,True,True
33369,2,1,True,False,False
72814,3,2,False,False,True
72448,2,1,False,False,False
98151,2,1,False,False,True
76173,2,1,False,False,False
41276,3,1,True,False,False
82000,2,1,False,False,False
7580,2,1,False,True,False
37013,2,1,False,False,False
59622,2,1,True,False,False
81907,2,1,True,True,True
86809,2,1,False,False,False
85097,2,1,False,False,True
4851,2,1,True,False,False
40687,2,1,False,False,True
94185,3,2,False,False,True
97071,1,1,True,False,False
58481,1,1,True,False,False
90138,2,1,True,False,True
60866,2,1,True,False,False
89528,3,1,True,False,True
86996,2,1,False,False,True
81878,2,1,False,False,False
73822,4,1,True,False,True
4991,4,1,False,False,False
98084,2,1,True,False,True
13220,2,1,False,False,False
3032,4,1,False,False,True
81638,2,1,True,False,False
30845,2,1,True,False,False
40444,2,1,False,False,True
50472,2,1,False,False,False
7426,2,1,False,False,True
44458,2,1,True,False,False
6380,2,1,True,True,False
35215,2,1,False,True,True
55951,2,1,True,False,False
10736,4,1,True,False,True
47203,2,1,False,False,True
26197,3,1,True,False,False
3854,2,1,False,True,True
2650,1,1,True,False,True
47405,2,1,False,False,True
83131,2,2,False,True,False
95463,2,1,False,False,False
85746,2,1,False,False,False
1485,2,2,False,False,False
58788,2,1,True,False,True
45726,2,1,True,False,False
78733,1,1,True,False,True
93573,2,1,False,False,False
101896,2,1,False,False,True
71108,2,1,True,False,True
84142,2,1,False,False,True
3529,2,1,False,False,False
44789,3,1,True,False,True
51200,1,1,False,True,True
68354,2,1,False,False,False
83240,2,1,True,False,False
79793,2,1,True,False,False
70330,1,1,True,False,False
14311,2,1,False,False,True
68318,2,1,True,False,False
88409,1,1,True,False,False
72028,3,1,False,False,True
100120,2,1,True,False,True
5286,2,1,False,False,True
72889,2,1,False,False,False
4275,2,1,True,False,True
101864,4,1,True,False,True
84091,2,1,False,False,False
32210,2,1,False,False,False
96127,4,1,False,False,True
43176,2,1,False,False,False
59144,2,1,True,False,True
66307,2,1,False,False,True
78602,2,1,True,False,False
73375,2,2,True,False,False
50916,2,1,True,False,False
78065,2,2,False,True,False
87273,3,1,False,False,True
34475,2,1,True,False,False
85745,2,1,False,True,True
42476,2,1,False,True,True
63794,2,1,False,False,False
65420,4,1,True,False,True
92020,2,1,False,False,True
94987,3,1,False,True,True
55871,2,1,False,True,True
29345,2,1,True,False,False
90006,2,1,True,False,False
51348,3,1,False,False,True
94976,2,2,False,False,False
51049,2,1,False,False,False
91012,2,2,False,False,True
8875,2,1,False,False,False
97803,2,1,False,False,True
48626,2,1,False,False,False
63300,2,1,False,True,True
10607,3,1,False,False,False
29044,4,2,True,True,False
7154,4,2,True,False,False
89925,2,1,False,False,False
50115,2,1,True,False,True
60759,2,1,True,False,False
56903,2,1,False,False,False
6441,4,1,True,False,True
79834,4,1,True,False,False
77978,2,1,False,False,False
