dog_id,sex_1,sex_2
10509,False,True
74227,False,True
32487,True,False
63150,True,False
33369,True,False
72814,False,True
72448,False,True
98151,True,False
76173,True,False
41276,True,False
82000,False,True
7580,True,False
37013,True,False
59622,True,False
81907,False,True
86809,True,False
85097,True,False
4851,True,False
40687,True,False
94185,False,True
97071,False,True
58481,True,False
90138,False,True
60866,False,True
89528,False,True
86996,False,True
81878,True,False
73822,False,True
4991,True,False
98084,True,False
13220,True,False
3032,True,False
81638,True,False
30845,False,True
40444,True,False
50472,True,False
7426,False,True
44458,False,True
6380,False,True
35215,False,True
55951,True,False
10736,True,False
47203,False,True
26197,True,False
3854,False,True
2650,False,True
47405,True,False
83131,True,False
95463,True,False
85746,False,True
1485,True,False
58788,True,False
45726,False,True
78733,False,True
93573,True,False
101896,False,True
71108,True,False
84142,False,True
3529,False,True
44789,False,True
51200,False,True
68354,True,False
83240,True,False
79793,False,True
70330,False,True
14311,False,True
68318,True,False
88409,True,False
72028,False,True
100120,False,True
5286,True,False
72889,True,False
4275,True,False
101864,True,False
84091,False,True
32210,True,False
96127,True,False
43176,True,False
59144,False,True
66307,False,True
78602,False,True
73375,True,False
50916,True,False
78065,False,True
87273,True,False
34475,False,True
85745,False,True
42476,False,True
63794,False,True
65420,True,False
92020,True,False
94987,True,False
55871,False,True
29345,False,True
90006,False,True
51348,False,True
94976,True,False
51049,False,True
91012,True,False
8875,False,True
97803,True,False
48626,True,False
63300,False,True
10607,True,False
29044,True,False
7154,False,True
89925,False,True
50115,False,True
60759,True,False
56903,False,True
6441,True,False
79834,False,True
77978,False,True
5240,False,True
19636,True,False
45805,False,True
25333,True,False
53790,True,False
28324,False,True
17268,True,False
58977,False,True
15557,False,True
102685,False,True
72205,False,True
60642,True,False
69116,True,False
4114,False,True
97654,False,True
64678,True,False
33038,False,True
72234,True,False
45597,True,False
69397,True,False
98656,True,False
90391,False,True
3476,True,False
20897,False,True
42137,False,True
80393,False,True
91490,True,False
31125,True,False
95384,True,False
60016,True,False
54244,True,False
55230,False,True
42675,True,False
83352,True,False
77404,False,True
42691,True,False
62801,True,False
61524,True,False
64635,True,False
95151,True,False
28064,False,True
66178,True,False
88379,False,True
4503,True,False
40879,False,True
87947,False,True
87690,True,False
92999,False,True
79804,True,False
50377,False,True
76065,True,False
74929,True,False
102714,False,True
16154,True,False
57419,True,False
15104,False,True
233,True,False
26157,False,True
92296,True,False
12864,False,True
94578,True,False
102086,True,False
3105,True,False
8162,True,False
1852,True,False
29644,True,False
83175,False,True
6880,False,True
53040,False,True
40933,True,False
85173,True,False
82464,True,False
87441,False,True
7023,True,False
81717,True,False
83340,True,False
21602,True,False
16001,False,True
11166,True,False
71254,False,True
79687,False,True
66,True,False
30753,True,False
50326,True,False
68940,False,True
76061,False,True
79383,False,True
2287,True,False
92577,True,False
85835,True,False
35796,True,False
14449,True,False
62250,True,False
22504,True,False
13873,False,True
97737,True,False
69292,True,False
41882,True,False
25921,True,False
60399,False,True
81851,False,True
22556,False,True
63330,True,False
87835,True,False
91022,True,False
38188,False,True
32899,True,False
95758,False,True
24386,True,False
65585,False,True
37601,True,False
1531,False,True
97119,True,False
70850,True,False
70615,True,False
18319,True,False
32081,False,True
63041,False,True
35690,True,False
100332,True,False
70566,True,False
83685,True,False
66289,False,True
94125,False,True
29926,True,False
95442,False,True
84317,True,False
83508,True,False
97331,False,True
37560,False,True
53322,True,False
10880,True,False
43099,False,True
11183,True,False
44979,True,False
79281,False,True
34068,True,False
11753,True,False
94428,False,True
79976,True,False
54801,True,False
88699,False,True
22116,True,False
36702,False,True
27099,False,True
54740,False,True
52593,False,True
54403,True,False
23467,True,False
18270,False,True
89716,False,True
1540,False,True
11481,True,False
80155,False,True
92893,True,False
41347,True,False
17431,False,True
82948,True,False
81817,True,False
94806,False,True
5137,False,True
40629,True,False
87598,True,False
14769,False,True
9075,True,False
87509,True,False
15440,True,False
43971,True,False
100321,False,True
62046,False,True
93243,True,False
15649,True,False
93934,True,False
1195,True,False
82711,False,True
7781,False,True
40593,False,True
52897,False,True
33623,True,False
68759,False,True
20089,True,False
94259,True,False
4828,True,False
6377,True,False
38283,False,True
12,False,True
94354,False,True
58548,False,True
53629,True,False
84665,True,False
57461,False,True
58418,False,True
45256,True,False
15094,True,False
16021,True,False
71351,False,True
58016,True,False
18080,False,True
66419,True,False
94080,True,False
67965,False,True
30061,True,False
13208,False,True
48502,False,True
30018,False,True
80531,True,False
65945,True,False
87033,False,True
3204,True,False
26451,False,True
36961,True,False
86771,False,True
102007,True,False
48204,False,True
15604,False,True
95647,True,False
938,False,True
28893,False,True
91456,True,False
31862,False,True
10700,False,True
81963,False,True
96001,True,False
71380,False,True
4290,True,False
77764,False,True
9941,True,False
14232,False,True
15533,False,True
39309,True,False
77525,False,True
52471,True,False
91233,False,True
90580,False,True
78226,True,False
67388,False,True
73869,True,False
12726,True,False
73067,True,False
37385,True,False
52445,False,True
96392,False,True
54124,True,False
64834,False,True
47898,False,True
88961,False,True
22629,False,True
94093,True,False
93667,False,True
30906,True,False
57394,False,True
63899,True,False
97112,True,False
11247,True,False
1654,True,False
77117,True,False
25269,True,False
42724,False,True
102584,True,False
15252,False,True
19306,False,True
55691,True,False
63049,False,True
99876,True,False
45006,True,False
28473,False,True
3058,True,False
102257,False,True
35333,True,False
46004,True,False
88130,False,True
19429,False,True
55022,True,False
87785,False,True
83034,True,False
60656,True,False
28297,False,True
42588,False,True
71971,True,False
65399,True,False
48945,False,True
313,False,True
53001,False,True
36686,False,True
77429,False,True
61384,False,True
29673,False,True
55283,True,False
25960,True,False
64697,True,False
51650,True,False
68425,True,False
40392,False,True
87448,False,True
82892,True,False
57876,True,False
83383,False,True
84324,False,True
66799,False,True
68927,True,False
102248,False,True
66851,True,False
30141,False,True
84312,False,True
23717,True,False
75850,False,True
22800,False,True
76661,False,True
51136,False,True
89863,False,True
6579,True,False
82549,False,True
12055,False,True
83460,True,False
92678,False,True
28565,True,False
83468,True,False
70153,True,False
51873,True,False
80637,True,False
56912,False,True
22934,True,False
11244,False,True
72244,False,True
36541,True,False
89165,True,False
202,True,False
89777,False,True
50979,False,True
50136,False,True
91526,False,True
98737,True,False
7258,False,True
78684,False,True
69452,False,True
48274,False,True
51183,False,True
8479,False,True
77766,False,True
17455,False,True
7906,False,True
81560,False,True
44261,True,False
86754,False,True
68450,False,True
91191,True,False
86917,True,False
63657,False,True
83200,True,False
56263,False,True
35233,True,False
40469,True,False
33611,False,True
88865,True,False
28326,True,False
84837,False,True
45586,True,False
63524,False,True
1674,False,True
33339,True,False
78422,True,False
88063,False,True
75957,False,True
1230,True,False
94086,True,False
70406,True,False
98977,True,False
50744,False,True
44768,True,False
24906,True,False
18599,False,True
37702,False,True
46838,False,True
48882,True,False
47561,False,True
68563,False,True
16060,True,False
92476,True,False
78270,True,False
59745,False,True
23094,True,False
18062,True,False
59310,False,True
80874,False,True
14465,True,False
96168,True,False
85536,False,True
51041,False,True
96451,True,False
50365,True,False
73526,False,True
18979,False,True
14183,True,False
27401,False,True
8965,True,False
52867,False,True
85376,True,False
55080,False,True
49785,False,True
438,True,False
61252,False,True
10608,False,True
829,False,True
84139,True,False
82574,False,True
76867,False,True
67387,False,True
2346,True,False
13049,True,False
56513,True,False
49326,True,False
41330,True,False
90779,True,False
61323,False,True
50323,True,False
59343,False,True
85350,False,True
49864,False,True
36052,False,True
61010,False,True
78299,False,True
97524,False,True
95390,True,False
88011,False,True
13062,False,True
29534,True,False
94923,False,True
72357,False,True
53900,False,True
37731,True,False
59348,False,True
36936,False,True
27291,False,True
30363,False,True
18632,True,False
90300,True,False
78740,False,True
51654,False,True
90488,False,True
66168,True,False
89422,False,True
37435,True,False
97451,True,False
57641,False,True
97242,False,True
9597,False,True
92843,True,False
88540,True,False
100530,False,True
67462,False,True
16848,False,True
11445,False,True
87428,True,False
37049,False,True
87212,True,False
13473,False,True
82476,True,False
4625,True,False
87176,True,False
24615,True,False
83971,False,True
84514,False,True
99844,True,False
95239,True,False
23613,False,True
24999,True,False
28680,True,False
88311,False,True
42260,False,True
36831,True,False
72592,False,True
102506,True,False
100426,True,False
30763,True,False
75217,False,True
74110,False,True
7463,True,False
28972,False,True
51415,True,False
70568,True,False
13353,False,True
57081,True,False
85954,True,False
92666,True,False
51758,True,False
98819,False,True
95532,False,True
61964,True,False
83410,False,True
70146,False,True
37264,False,True
91594,False,True
22330,False,True
48805,True,False
103199,True,False
95683,True,False
58077,False,True
9280,False,True
2381,True,False
15019,True,False
94953,False,True
42842,False,True
87328,False,True
34009,False,True
31014,False,True
32214,True,False
95231,False,True
60082,True,False
89538,True,False
53277,False,True
74311,False,True
5351,False,True
48556,False,True
15948,False,True
11690,False,True
54550,False,True
16086,False,True
79749,False,True
26537,True,False
29247,True,False
89294,False,True
31913,True,False
72992,False,True
34270,False,True
85513,False,True
22866,True,False
13779,False,True
41923,True,False
99659,True,False
3830,False,True
40472,False,True
36300,False,True
35114,True,False
913,True,False
51360,False,True
88861,False,True
100576,False,True
19039,False,True
87693,True,False
18294,False,True
93909,False,True
32696,True,False
93328,True,False
68234,True,False
74236,True,False
7071,False,True
99266,False,True
79234,False,True
53316,True,False
100235,True,False
20241,False,True
70967,False,True
67494,True,False
96715,True,False
88840,True,False
82974,True,False
67773,True,False
97144,True,False
71757,False,True
1934,True,False
85540,False,True
79728,True,False
37924,False,True
93175,False,True
29729,True,False
94103,False,True
64001,False,True
83218,False,True
32864,False,True
47897,True,False
26924,False,True
50149,True,False
32608,False,True
72341,False,True
103643,True,False
60355,False,True
57877,False,True
65921,False,True
60766,True,False
11441,True,False
53495,False,True
93192,False,True
76934,True,False
93545,True,False
332,False,True
63683,True,False
82216,True,False
42944,True,False
78552,True,False
35164,False,True
76436,False,True
52686,False,True
91111,False,True
13615,True,False
60227,False,True
41721,False,True
92918,True,False
90007,True,False
88499,False,True
90725,True,False
71288,True,False
2172,True,False
83980,True,False
95593,True,False
10573,True,False
90082,True,False
613,False,True
46445,True,False
67331,True,False
78136,False,True
32959,False,True
95378,True,False
39609,True,False
21653,False,True
44855,True,False
98365,True,False
86392,False,True
40360,True,False
38217,True,False
78286,False,True
67276,False,True
19291,False,True
56422,False,True
91235,True,False
23149,False,True
93825,False,True
59111,True,False
2010,True,False
12687,True,False
61024,True,False
61432,False,True
75397,True,False
87435,False,True
90058,True,False
98426,False,True
42896,True,False
28651,True,False
41099,False,True
1033,True,False
79350,True,False
32823,True,False
27014,True,False
32428,False,True
91178,False,True
81207,True,False
13967,True,False
6180,True,False
8811,False,True
58982,False,True
78224,False,True
60109,False,True
15016,True,False
62658,True,False
55971,True,False
69531,True,False
88233,True,False
102013,True,False
103266,True,False
74420,True,False
38284,True,False
67635,True,False
47399,True,False
45670,False,True
43414,True,False
76682,True,False
58784,False,True
20048,False,True
86192,True,False
21997,False,True
70822,False,True
82179,True,False
56462,True,False
57136,False,True
37880,True,False
37466,True,False
15544,True,False
62457,True,False
23176,True,False
13352,True,False
31956,False,True
70067,True,False
6054,False,True
12376,True,False
93453,True,False
88669,False,True
96178,False,True
62496,True,False
78005,False,True
89608,True,False
33554,False,True
85388,False,True
95603,True,False
53971,False,True
28245,False,True
37015,False,True
82490,True,False
25726,False,True
85319,True,False
99822,False,True
42423,True,False
75205,False,True
35793,False,True
37990,True,False
86071,True,False
97280,True,False
91577,True,False
487,False,True
38193,False,True
90516,True,False
42366,False,True
10438,False,True
85800,True,False
39742,False,True
20976,True,False
77456,True,False
83282,True,False
54310,True,False
15216,True,False
5475,True,False
84621,True,False
76989,True,False
34992,True,False
53462,False,True
53271,True,False
94829,False,True
69077,True,False
78202,False,True
98920,False,True
17728,False,True
56955,True,False
8328,True,False
14934,False,True
52825,False,True
90261,False,True
65897,True,False
62555,False,True
1285,False,True
55589,False,True
47558,False,True
70359,False,True
89151,True,False
62111,False,True
71359,False,True
94894,False,True
51533,True,False
17048,False,True
94935,False,True
88088,False,True
97453,False,True
92506,True,False
74996,True,False
13830,False,True
96096,False,True
86367,False,True
78384,False,True
86977,True,False
77932,True,False
75046,True,False
60283,True,False
58459,True,False
238,True,False
61585,True,False
35607,False,True
96737,True,False
84666,True,False
40243,False,True
89813,False,True
79607,False,True
101519,True,False
92979,False,True
2013,False,True
96056,False,True
65035,False,True
68784,True,False
75198,True,False
46475,False,True
18480,True,False
87072,True,False
72680,True,False
25690,False,True
70512,False,True
80946,True,False
89974,True,False
12485,False,True
61955,True,False
43603,True,False
29636,True,False
28142,False,True
36998,True,False
34072,True,False
45494,True,False
96194,False,True
81583,False,True
3017,False,True
30334,True,False
2628,False,True
21105,True,False
9456,True,False
69957,True,False
85950,False,True
61099,True,False
96151,False,True
80205,True,False
90107,False,True
99570,True,False
84264,False,True
37556,True,False
27080,False,True
81807,True,False
81426,False,True
60350,True,False
97209,False,True
22500,True,False
29870,True,False
13514,False,True
95773,False,True
46665,True,False
18984,True,False
89735,True,False
85701,False,True
55361,True,False
63827,False,True
68018,False,True
48711,True,False
34345,True,False
43729,False,True
21425,True,False
71342,True,False
65599,True,False
57453,False,True
5311,True,False
13529,True,False
88194,False,True
13014,False,True
73272,True,False
33661,True,False
57375,False,True
79511,False,True
103180,True,False
29993,False,True
93990,True,False
37797,False,True
62421,True,False
73471,False,True
14661,False,True
97810,True,False
86445,True,False
51225,True,False
63880,True,False
44305,True,False
12408,True,False
20974,False,True
69507,True,False
18450,False,True
93972,False,True
82760,False,True
36935,True,False
41002,False,True
3059,True,False
63065,False,True
61393,False,True
23967,True,False
54227,True,False
2275,False,True
88908,False,True
54213,True,False
40288,False,True
92028,True,False
86341,False,True
18461,False,True
82952,False,True
80857,False,True
38815,True,False
97490,True,False
67277,True,False
74173,False,True
15887,False,True
1448,False,True
66751,True,False
94874,False,True
70465,True,False
12412,False,True
88173,False,True
45438,True,False
60921,True,False
12887,True,False
66388,False,True
51232,True,False
87811,False,True
88512,True,False
78318,False,True
90883,True,False
44669,False,True
88615,True,False
49615,False,True
7265,False,True
28759,False,True
56228,False,True
83939,True,False
74316,False,True
98501,False,True
93885,False,True
23477,False,True
71526,False,True
45286,True,False
11483,True,False
90162,False,True
43754,False,True
79609,False,True
59875,False,True
71817,False,True
91118,True,False
102494,True,False
55785,False,True
78764,False,True
66795,False,True
85969,False,True
77622,False,True
36572,True,False
759,False,True
48043,True,False
47421,True,False
60063,False,True
24792,False,True
6223,False,True
61519,True,False
40380,False,True
2696,False,True
1113,False,True
30477,False,True
14846,False,True
27373,True,False
50313,False,True
4470,True,False
45708,False,True
94494,True,False
36644,False,True
100679,True,False
6425,True,False
3920,True,False
67816,False,True
16144,False,True
81298,True,False
80994,False,True
63686,False,True
95708,True,False
84439,False,True
78262,False,True
98353,False,True
13831,False,True
51035,True,False
27136,False,True
14042,True,False
65922,False,True
102628,True,False
75924,False,True
101149,True,False
85407,False,True
94558,True,False
52952,False,True
89620,True,False
99837,False,True
50708,True,False
57720,True,False
39521,False,True
6804,True,False
100803,True,False
99138,False,True
49669,False,True
74769,True,False
11558,True,False
25858,True,False
68608,True,False
27482,True,False
62436,False,True
86335,False,True
2571,False,True
70045,True,False
83891,True,False
71334,False,True
49303,True,False
23023,False,True
82541,False,True
19031,True,False
35705,False,True
56774,True,False
21060,True,False
6178,True,False
92812,False,True
12931,True,False
8541,True,False
54446,True,False
35376,False,True
21596,True,False
71433,False,True
98175,False,True
8382,False,True
80388,False,True
79773,False,True
43682,True,False
80957,False,True
47215,False,True
41462,False,True
47830,False,True
85670,True,False
73738,True,False
4908,True,False
38293,False,True
33357,False,True
98179,True,False
80608,True,False
29865,False,True
7026,False,True
84591,False,True
50673,True,False
92939,True,False
30840,True,False
3772,False,True
63767,False,True
101068,True,False
8161,True,False
95283,True,False
91273,False,True
40850,False,True
87683,True,False
52022,False,True
77593,True,False
1727,True,False
14728,True,False
52411,False,True
52928,False,True
49022,True,False
66951,True,False
29101,True,False
86102,True,False
77116,False,True
20832,False,True
46128,True,False
44866,True,False
100899,False,True
84740,True,False
90900,True,False
68111,True,False
88554,False,True
60420,True,False
32969,True,False
72557,False,True
6006,True,False
47229,False,True
84719,False,True
98359,False,True
58480,True,False
11354,False,True
52473,True,False
4365,False,True
29022,True,False
94933,False,True
10540,False,True
62293,True,False
70292,True,False
31706,True,False
81156,True,False
12886,True,False
55423,False,True
75170,False,True
83994,True,False
70856,True,False
29920,False,True
75329,True,False
72017,False,True
56010,True,False
45215,False,True
32910,False,True
102108,False,True
43774,True,False
94393,True,False
91039,True,False
3813,False,True
7860,True,False
62861,False,True
44083,True,False
10939,False,True
42960,False,True
57390,True,False
70072,False,True
39101,True,False
44463,False,True
48338,True,False
22354,True,False
81416,False,True
18053,False,True
50459,True,False
73606,False,True
49748,True,False
102097,True,False
92099,True,False
76833,True,False
87972,True,False
62494,False,True
43940,True,False
59560,False,True
51344,False,True
44285,True,False
39409,True,False
47800,False,True
90724,True,False
85120,False,True
47463,False,True
93418,False,True
90578,True,False
89068,True,False
95326,True,False
39385,False,True
88601,True,False
85606,True,False
45714,True,False
30709,True,False
72035,True,False
64516,False,True
65325,False,True
41468,False,True
88470,False,True
28966,True,False
77380,False,True
70596,True,False
29448,True,False
59754,True,False
18304,True,False
14452,True,False
38657,True,False
40175,False,True
93398,False,True
18268,False,True
2695,True,False
53947,True,False
90316,True,False
24286,False,True
33056,True,False
34508,False,True
13171,True,False
25617,False,True
15914,True,False
20436,False,True
22372,True,False
71243,True,False
102634,False,True
22597,False,True
58932,False,True
75016,False,True
86284,True,False
32017,False,True
29594,True,False
58315,True,False
19425,True,False
90171,False,True
35427,True,False
88155,False,True
3296,False,True
28645,False,True
8493,True,False
80586,True,False
100436,True,False
89507,False,True
48566,False,True
37100,False,True
47734,False,True
98563,True,False
24552,False,True
59044,True,False
82282,False,True
51718,True,False
43500,True,False
81004,False,True
89362,False,True
1636,True,False
21994,False,True
69919,True,False
88661,False,True
32641,True,False
40891,True,False
83137,False,True
47550,True,False
7843,False,True
20701,False,True
33882,False,True
52424,False,True
103608,True,False
28981,True,False
102980,False,True
88662,False,True
60599,False,True
30445,False,True
94784,True,False
59124,False,True
824,False,True
24721,False,True
60758,True,False
25249,True,False
26285,False,True
2358,False,True
79702,True,False
62794,False,True
8889,False,True
66454,False,True
80877,False,True
56450,False,True
54256,True,False
41196,True,False
22332,True,False
85156,True,False
83112,False,True
95619,True,False
27846,True,False
52231,True,False
89799,True,False
47656,False,True
11456,True,False
99032,True,False
75842,True,False
52333,True,False
31564,False,True
48627,False,True
69929,False,True
98354,True,False
47687,True,False
87501,False,True
64571,True,False
99022,False,True
16462,False,True
4748,True,False
36483,False,True
89564,False,True
903,False,True
97123,True,False
84972,False,True
81411,True,False
4841,False,True
21292,True,False
53251,True,False
14542,False,True
27658,False,True
82588,True,False
97559,False,True
80907,False,True
18016,False,True
4560,False,True
33944,False,True
15878,False,True
54707,False,True
6393,False,True
87723,True,False
81924,False,True
39433,True,False
18006,True,False
101190,False,True
22390,False,True
37867,False,True
87321,True,False
85301,False,True
30754,True,False
90257,False,True
79286,True,False
26060,False,True
71267,False,True
85829,True,False
11299,False,True
60958,True,False
49940,False,True
92745,False,True
95004,False,True
46245,True,False
95714,False,True
31786,False,True
63595,False,True
69404,False,True
76350,False,True
52920,True,False
57114,False,True
30001,True,False
77139,False,True
99781,False,True
7271,True,False
95954,False,True
76075,True,False
87238,True,False
96987,False,True
7521,True,False
54499,False,True
12294,True,False
99815,False,True
85812,False,True
13752,False,True
72399,False,True
15225,False,True
98586,True,False
2812,False,True
47981,False,True
8115,True,False
1803,False,True
90500,False,True
87337,False,True
59769,True,False
96992,True,False
24991,True,False
57511,False,True
53315,False,True
81098,True,False
24295,False,True
26691,False,True
51614,False,True
23478,True,False
77127,True,False
37546,True,False
15509,True,False
80753,True,False
55425,True,False
88626,False,True
98258,True,False
24395,False,True
45500,False,True
14847,False,True
63679,False,True
50571,True,False
4300,False,True
56979,False,True
2101,True,False
43173,False,True
41137,True,False
46958,True,False
25460,False,True
87251,True,False
50025,False,True
53821,True,False
53825,True,False
88755,True,False
96478,False,True
82839,True,False
3950,True,False
2385,False,True
86207,True,False
36158,False,True
95186,True,False
88981,False,True
70571,True,False
3367,True,False
70962,False,True
22192,True,False
31424,False,True
87245,False,True
64650,True,False
56157,False,True
27512,True,False
64705,False,True
86082,True,False
42766,True,False
73595,True,False
76673,True,False
90852,False,True
86391,True,False
88603,False,True
87962,True,False
72046,False,True
49496,True,False
86594,True,False
3755,False,True
99944,False,True
102168,True,False
26074,False,True
45346,False,True
18463,True,False
13571,True,False
89164,True,False
95443,False,True
94411,False,True
52161,False,True
24783,True,False
41487,False,True
94981,False,True
47403,True,False
63317,False,True
56475,True,False
78376,False,True
40553,False,True
61833,False,True
7362,False,True
66847,True,False
89107,False,True
57679,True,False
