dog_id,dd_weight_lbs
10509,33.0
74227,44.0
32487,20.0
63150,65.0
33369,34.8
72814,91.0
72448,15.0
98151,78.0
76173,87.0
41276,48.0
82000,9.2
7580,23.0
37013,38.0
59622,70.0
81907,5.4
86809,66.0
85097,118.0
4851,55.0
40687,64.0
94185,8.5
97071,29.0
58481,72.0
90138,65.0
60866,59.0
89528,23.0
86996,7.8
81878,38.0
73822,10.0
4991,61.0
98084,79.0
13220,70.2
3032,18.0
81638,82.0
30845,11.0
40444,72.4
50472,27.0
7426,53.0
44458,89.0
6380,46.0
35215,66.0
55951,45.0
10736,4.0
47203,53.0
26197,12.6
3854,42.0
2650,36.0
47405,68.0
83131,44.0
95463,30.0
85746,97.7
1485,80.2
58788,9.0
45726,24.0
78733,34.0
93573,23.0
101896,12.6
71108,11.0
84142,70.0
3529,17.2
44789,10.8
51200,120.0
68354,120.0
83240,21.0
79793,31.4
70330,55.0
14311,64.0
68318,32.0
88409,60.0
72028,52.0
100120,16.0
5286,89.0
72889,53.0
4275,35.0
101864,118.0
84091,44.0
32210,71.0
96127,11.0
43176,96.0
59144,67.0
66307,61.0
78602,19.2
73375,36.0
50916,70.0
78065,53.0
87273,78.0
34475,22.0
85745,74.0
42476,20.0
63794,51.4
65420,71.0
92020,53.4
94987,12.0
55871,53.0
29345,13.0
90006,88.0
51348,19.0
94976,61.0
51049,57.0
91012,55.0
8875,63.0
97803,60.0
48626,70.0
63300,130.0
10607,42.2
29044,17.6
7154,8.0
89925,85.0
50115,7.0
60759,34.0
56903,56.0
6441,20.0
79834,35.0
77978,71.0
5240,29.0
19636,38.0
45805,75.0
25333,47.0
53790,180.0
28324,42.0
17268,32.0
58977,63.0
15557,6.0
102685,57.4
72205,52.0
60642,83.0
69116,70.0
4114,62.9
97654,44.0
64678,73.0
33038,30.0
72234,66.0
45597,27.0
69397,52.0
98656,8.0
90391,115.0
3476,23.0
20897,54.0
42137,32.0
80393,41.0
91490,51.4
31125,12.5
95384,125.0
60016,18.0
54244,57.0
55230,22.0
42675,28.9
83352,71.0
77404,43.0
42691,70.0
62801,125.0
61524,70.0
64635,51.0
95151,53.0
28064,56.0
66178,85.0
88379,47.5
4503,16.0
40879,9.8
87947,47.0
87690,52.0
92999,20.0
79804,53.5
50377,14.6
76065,9.1
74929,15.0
102714,64.0
16154,74.0
57419,21.0
15104,50.0
233,18.0
26157,81.0
92296,54.0
12864,78.0
94578,57.0
102086,72.0
3105,72.6
8162,75.0
1852,85.6
29644,68.0
83175,19.0
6880,86.9
53040,50.0
40933,91.0
85173,63.0
82464,79.0
87441,62.0
7023,34.0
81717,86.0
83340,74.0
21602,20.3
16001,14.0
11166,109.0
71254,38.0
79687,14.0
66,29.0
30753,13.0
50326,49.0
68940,13.0
76061,52.0
79383,84.0
2287,30.0
92577,51.6
85835,17.0
35796,43.0
14449,90.0
62250,96.0
22504,85.0
13873,26.4
97737,165.0
69292,72.0
41882,59.0
25921,41.0
60399,79.0
81851,59.6
22556,53.0
63330,54.0
87835,31.0
91022,22.0
38188,72.0
32899,11.0
95758,82.0
24386,72.0
65585,45.0
37601,48.0
1531,42.0
97119,89.0
70850,54.0
70615,43.0
18319,17.0
32081,75.0
63041,70.0
35690,44.0
100332,30.0
70566,19.5
83685,31.0
66289,9.8
94125,62.0
29926,22.1
95442,14.1
84317,48.0
83508,65.0
97331,51.0
37560,38.0
53322,49.0
10880,96.0
43099,137.0
11183,25.0
44979,68.0
79281,44.0
34068,64.0
11753,29.0
94428,46.0
79976,67.0
54801,60.0
88699,81.0
22116,40.0
36702,16.0
27099,72.0
54740,65.4
52593,52.0
54403,72.0
23467,5.7
18270,24.0
89716,47.0
1540,55.0
11481,8.5
80155,65.0
92893,65.4
41347,7.5
17431,8.5
82948,88.0
81817,75.0
94806,47.0
5137,65.0
40629,69.0
87598,66.0
14769,22.0
9075,48.1
87509,78.0
15440,36.0
43971,88.0
100321,18.0
62046,54.0
93243,32.0
15649,31.0
93934,12.75
1195,75.0
82711,12.0
7781,20.0
40593,67.0
52897,59.0
33623,22.0
68759,60.0
20089,60.8
94259,25.0
4828,91.0
6377,11.0
38283,55.0
12,53.0
94354,28.0
58548,25.5
53629,52.0
84665,7.0
57461,9.0
58418,23.0
45256,22.0
15094,85.0
16021,62.0
71351,52.0
58016,39.0
18080,60.0
66419,59.0
94080,12.5
67965,63.0
30061,32.0
13208,16.0
48502,69.0
30018,10.0
80531,130.0
65945,73.0
87033,58.0
3204,56.0
26451,9.0
36961,15.0
86771,50.2
102007,31.0
48204,96.0
15604,84.0
95647,65.0
938,30.0
28893,80.0
91456,56.0
31862,25.5
10700,11.0
81963,68.5
96001,40.0
71380,18.0
4290,25.0
77764,28.0
9941,29.0
14232,12.0
15533,62.0
39309,59.0
77525,38.0
52471,57.0
91233,83.0
90580,51.7
78226,142.0
67388,38.1
73869,69.0
12726,40.0
73067,38.4
37385,52.0
52445,58.0
96392,42.0
54124,55.0
64834,48.6
47898,51.0
88961,45.0
22629,65.0
94093,94.6
93667,100.0
30906,63.0
57394,54.8
63899,24.0
97112,89.0
11247,21.4
1654,80.0
77117,93.0
25269,22.0
42724,35.0
102584,18.6
15252,165.0
19306,52.0
55691,135.0
63049,17.0
99876,32.0
45006,93.0
28473,45.0
3058,37.0
102257,18.0
35333,62.0
46004,6.0
88130,62.0
19429,49.0
55022,70.0
87785,48.0
83034,66.0
60656,101.0
28297,56.0
42588,75.0
71971,109.0
65399,38.0
48945,44.0
313,52.0
53001,54.0
36686,89.0
77429,32.0
61384,9.0
29673,62.0
55283,39.0
25960,41.5
64697,65.0
51650,118.0
68425,9.0
40392,11.0
87448,22.0
82892,58.0
57876,43.0
83383,11.7
84324,19.0
66799,58.8
68927,60.0
102248,11.8
66851,8.7
30141,61.0
84312,62.0
23717,140.0
75850,51.0
22800,25.0
76661,26.0
51136,69.0
89863,12.0
6579,56.0
82549,50.0
12055,163.0
83460,20.0
92678,56.0
28565,20.0
83468,54.0
70153,105.0
51873,14.0
80637,16.0
56912,10.0
22934,23.0
11244,55.0
72244,31.0
36541,14.2
89165,55.0
202,52.0
89777,32.0
50979,91.5
50136,39.0
91526,12.0
98737,80.2
7258,17.0
78684,71.0
69452,43.0
48274,26.0
51183,66.5
8479,50.0
77766,58.0
17455,35.0
7906,18.6
81560,78.0
44261,48.0
86754,63.0
68450,9.8
91191,16.2
86917,54.5
63657,46.0
83200,24.0
56263,61.4
35233,63.0
40469,9.0
33611,14.0
88865,17.9
28326,58.0
84837,47.0
45586,49.0
63524,70.0
1674,14.5
33339,13.0
78422,30.0
88063,73.0
75957,15.0
1230,48.0
94086,14.0
70406,9.5
98977,70.0
50744,18.5
44768,63.6
24906,35.0
18599,57.0
37702,52.0
46838,55.0
48882,17.0
47561,43.0
68563,52.0
16060,2.7
92476,44.0
78270,45.0
59745,64.0
23094,90.0
18062,49.0
59310,52.0
80874,65.0
14465,155.0
96168,102.0
85536,12.0
51041,20.0
96451,53.0
50365,85.0
73526,68.0
18979,28.0
14183,7.5
27401,48.0
8965,33.6
52867,75.0
85376,13.4
55080,50.0
49785,32.5
438,45.0
61252,40.0
10608,69.0
829,5.0
84139,45.0
82574,50.0
76867,39.0
67387,78.0
2346,51.0
13049,59.0
