Breed Type;Sub Breed;Breed Group;Breed
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Ainu Dog
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Akita
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Akita Mix
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Alaskan Husky
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Alaskan Klee Kai
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Alaskan Malamute
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;American Eskimo Dog
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;American Eskimo Dog - miniature
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;American Eskimo Mix
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;American Indian Dog
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Basenji
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Canadian Eskimo Dog
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Chinese Chongqing Dog
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Chow Chow
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Chow Chow Mix
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Coton De Tulear
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Coton De Tulear Mix
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Eskimo Dog
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Eurasier
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Finnish Lapphund
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Finnish Spitz
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Finish Spitz
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Formosan Mountain Dog
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;German Spitz
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Greenland Dog
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Icelandic Sheepdog
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Indian Pariah Dog
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Indian Pariah
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Japanese Spitz
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Jindo
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Kai Dog
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Kai Ken
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Keeshond
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Kishu Inu
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Kishu Ken
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Korean Jindo
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Lapinporokoira
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Malamute Husky
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Malamute Mix
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Native American Indian Dog
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Northern Inuit Dog
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Norwegian Elkhound
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Ori Pei
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Pomeranian
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Pomeranian Mix
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Samoyed
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Samoyed Mix
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Shar-pei
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Chinese Shar-Pei
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Shar-pei Mix
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Shiba Inu
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Shiba Inu Mix
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Shikoku
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Siberian Husky
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Siberian Husky Mix
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Spitz
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Swedish Elkhound
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Swedish Lapphund
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Swedish Vallhund
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Taiwanese Native Dog
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Taiwan Dog
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Tibetan Mastiff
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Volpino Italiano
Herding dogs;Australian;Australian-like;Australian Cattle Dog
Herding dogs;Australian;Australian-like;Australian Stumpy Tail Cattle Dog
Herding dogs;Australian;Australian-like;Australian Cattle Dog Mix
Herding dogs;Australian;Australian-like;Australian Shepherd
Herding dogs;Australian;Australian-like;Australian Shepherd - miniature
Herding dogs;Australian;Australian-like;Miniature American Shepherd
Herding dogs;Australian;Australian-like;Australian Shepherd Mix
Herding dogs;Australian;Australian-like;Blue Heeler
Herding dogs;Australian;Australian-like;Koolie
Herding dogs;Australian;Australian-like;Queensland Heeler
Herding dogs;Collie, Corgi, Sheepdog;Australian-like;Australian Kelpie
Herding dogs;Collie, Corgi, Sheepdog;Australian-like;Working Kelpie
Herding dogs;Collie, Corgi, Sheepdog;Australian-like;Bearded Collie
Herding dogs;Collie, Corgi, Sheepdog;Australian-like;Border Collie
Herding dogs;Collie, Corgi, Sheepdog;Australian-like;Border Collie Mix
Herding dogs;Collie, Corgi, Sheepdog;Australian-like;Collie
Herding dogs;Collie, Corgi, Sheepdog;Australian-like;Collie Mix
Herding dogs;Collie, Corgi, Sheepdog;Australian-like;Collie smooth-coated
Herding dogs;Collie, Corgi, Sheepdog;Australian-like;Kelpie
Herding dogs;Collie, Corgi, Sheepdog;Australian-like;Nova Scotia Duck Tolling Retriever
Herding dogs;Collie, Corgi, Sheepdog;Australian-like;Old English Sheepdog
Herding dogs;Collie, Corgi, Sheepdog;Australian-like;Old English Sheepdog Mix
Herding dogs;Collie, Corgi, Sheepdog;Australian-like;Rough Collie
Herding dogs;Collie, Corgi, Sheepdog;Australian-like;Smooth Collie
Herding dogs;Collie, Corgi, Sheepdog;Herding dogs - Other;Cardigan Welsh Corgi
Herding dogs;Collie, Corgi, Sheepdog;Herding dogs - Other;Corgi
