DiseaseGroup;Condition
Adrenal gland disorders;Cushings disease (hyperadrenocorticism)
Adrenal gland disorders;Addisons disease (hypoadrenocorticism)
Adrenal gland disorders;focal adrenal dysplasia
Anal gland disorders;anal gland abscess
Anal gland disorders;emptying anal glands
Anal gland disorders;anal gland removal
Anal gland disorders;anal gland impaction
Anal gland disorders;perianal fistula
Anal gland disorders;anal abscess
Anal gland disorders;rectal diverticulum
Anxiety or phobia;anxiety (generalized)
Anxiety or phobia;separation anxiety
Anxiety or phobia;thunderstorm phobia
Anxiety or phobia;noise phobia (general)
Anxiety or phobia;hysteria
Arthritis;arthritis/DJD of the elbow
Arthritis;arthritis/DJD of the hip
Arthritis;osteoarthritis
Arthritis;arthritis/DJD
Arthritis;hindquarter stiffness
Arthritis;arthritis/DJD of the back/spine
Arthritis;arthritis/DJD of the stifle joint
Arthritis;arthritis/DJD of the left fore leg
Arthritis;discospondylosis
Arthritis;arthritis/DJD of the shoulder
Arthritis;arthritis/DJD of the patella
Arthritis;arthritis/DJD of the left hind leg
Arthritis;arthritis/DJD of the carpus
Arthritis;arthritis/DJD of the right fore leg
Arthritis;arthritis/DJD of the right hind leg
Arthritis;pelvic pain/osteoarthritis
Arthritis;arthritis/DJD of the neck
Arthritis;exercise intolerance due to orthopedic problems
Arthritis;arthritis/DJD of the hock
Arthritis;arthritis/DJD of the pelvis
Arthritis;arthritis/DJD of the jaw/mandible
Behavioral disorders;Behavioral Disorder
Behavioral disorders;coprophagia
Behavioral disorders;inappropriate urination
Behavioral disorders;pica
Behavioral disorders;obsessive-compulsive disorder
Behavioral disorders;hypersexuality
Behavioral disorders;juvenile neurosis
Cruciate ligament injuries;cruciate ligament tear/rupture
Cruciate ligament injuries;cruciate ligament injury
Cruciate ligament injuries;stifle effusion
Cruciate ligament injuries;injured knee(s)
Cruciate ligament injuries;torn cruciate ligament
Cruciate ligament injuries;meniscal tear
Dental conditions;tooth extraction
Dental conditions;fractured/broken tooth
Dental conditions;dental calculi (tartar)
Dental conditions;fractured tooth
Dental conditions;dental lesion
Dental conditions;root canal
Dental conditions;decayed teeth
Dermatologic immune diseases;urticaria (hives)
Dermatologic immune diseases;contact allergies
Dermatologic immune diseases;atopy/atopic dermatitis
Dermatologic immune diseases;dermatitis
Dermatologic immune diseases;pododermatitis
Dermatologic immune diseases;hot spot
Dermatologic immune diseases;skin allergies
Dermatologic immune diseases;erythemia
Dermatologic immune diseases;perivulvar dermatitis
Dermatologic immune diseases;seasonal allergy
Dermatologic immune diseases;anaphylaxis (reaction to vaccination)
Dermatologic immune diseases;flea bite allergy
Dermatologic immune diseases;food allergy
Dermatologic immune diseases;lupus erythematosus
Dermatologic immune diseases;hypersensitivity
Dermatologic immune diseases;pyodermatitis
Dermatologic immune diseases;heat rash
Dermatologic immune diseases;pedal eczema
Dermatologic immune diseases;food allergic dermatitis
Dermatologic immune diseases;photosensitization
Diabetes;diabetes mellitus
Digestive disorders;hematochezia
Digestive disorders;exocrine pancreatic insufficiency
Digestive disorders;protein losing enteropathy
Digestive disorders;malabsorbtion
Digestive disorders;pancreatic insufficiency
Digestive disorders;malabsorption
Disc diseases;intervertebral disc disease
Disc diseases;ruptured intervertebral disc
Disc diseases;lumbosacral disease
Disc diseases;prolapsed intervertebral disc
Disc diseases;herniated disc
Disc diseases;calcified discs
Disc diseases;cauda equina syndrome
Ear inflammation and infections;ear infection
Ear inflammation and infections;otitis externa
Ear inflammation and infections;otitis media
Ear inflammation and infections;malassezia
